238.00,173.00,42.00,179.00,163.00,23.00,19.00,122.00,143.00,138.00
341.00,405.00,302.00,407.00,355.00,343.00,317.00,303.00,359.00,329.00
163.00,23.00,201.00,173.00,42.00,238.00,299.00,19.00,115.00,138.00
138.00,149.00,23.00,163.00,19.00,173.00,178.00,42.00,118.00,258.00
23.00,42.00,115.00,258.00,163.00,173.00,10.00,19.00,138.00,143.00
23.00,138.00,173.00,163.00,42.00,19.00,115.00,238.00,89.00,118.00
407.00,355.00,317.00,330.00,329.00,303.00,434.00,405.00,319.00,386.00
341.00,317.00,303.00,407.00,302.00,329.00,355.00,319.00,343.00,330.00
163.00,23.00,173.00,42.00,238.00,201.00,79.00,203.00,19.00,299.00
23.00,138.00,173.00,163.00,42.00,19.00,115.00,238.00,118.00,201.00
407.00,359.00,343.00,302.00,355.00,319.00,317.00,341.00,303.00,413.00
163.00,23.00,173.00,143.00,42.00,201.00,238.00,299.00,290.00,19.00
343.00,341.00,359.00,407.00,319.00,302.00,413.00,355.00,328.00,334.00
163.00,23.00,173.00,42.00,238.00,201.00,299.00,19.00,115.00,138.00
258.00,23.00,138.00,173.00,163.00,42.00,19.00,115.00,238.00,118.00
330.00,407.00,355.00,317.00,329.00,303.00,331.00,405.00,328.00,319.00
163.00,299.00,23.00,173.00,42.00,68.00,201.00,238.00,19.00,115.00
23.00,138.00,173.00,163.00,42.00,19.00,115.00,258.00,280.00,238.00
341.00,302.00,407.00,343.00,319.00,334.00,355.00,413.00,303.00,359.00
330.00,341.00,317.00,329.00,303.00,407.00,355.00,405.00,319.00,384.00
163.00,23.00,173.00,115.00,42.00,238.00,143.00,201.00,299.00,19.00
23.00,138.00,173.00,163.00,19.00,42.00,115.00,118.00,238.00,116.00
343.00,359.00,302.00,341.00,407.00,319.00,413.00,328.00,355.00,317.00
317.00,329.00,341.00,330.00,407.00,355.00,303.00,302.00,405.00,319.00
163.00,23.00,173.00,42.00,238.00,233.00,19.00,115.00,201.00,143.00
23.00,138.00,173.00,163.00,42.00,19.00,115.00,118.00,238.00,258.00
383.00,405.00,302.00,355.00,407.00,343.00,341.00,319.00,328.00,308.00
302.00,343.00,341.00,359.00,303.00,407.00,355.00,413.00,334.00,319.00
163.00,23.00,173.00,42.00,238.00,201.00,19.00,299.00,115.00,138.00
23.00,138.00,173.00,115.00,163.00,19.00,42.00,118.00,238.00,258.00
343.00,407.00,341.00,319.00,302.00,328.00,413.00,359.00,308.00,423.00
317.00,330.00,407.00,355.00,329.00,386.00,358.00,303.00,405.00,319.00
163.00,23.00,173.00,42.00,238.00,19.00,201.00,115.00,299.00,138.00
23.00,138.00,173.00,163.00,42.00,19.00,115.00,238.00,118.00,109.00
343.00,407.00,364.00,378.00,341.00,413.00,319.00,359.00,302.00,355.00
163.00,23.00,173.00,42.00,238.00,19.00,201.00,138.00,143.00,262.00
163.00,23.00,173.00,42.00,238.00,201.00,138.00,299.00,19.00,115.00
23.00,138.00,173.00,163.00,42.00,178.00,19.00,115.00,118.00,238.00
23.00,201.00,138.00,173.00,163.00,42.00,19.00,115.00,238.00,118.00
343.00,413.00,407.00,302.00,341.00,359.00,355.00,405.00,364.00,308.00
317.00,303.00,341.00,329.00,302.00,407.00,355.00,330.00,358.00,405.00
143.00,163.00,23.00,173.00,42.00,238.00,19.00,115.00,299.00,201.00
23.00,138.00,173.00,163.00,19.00,42.00,118.00,115.00,116.00,238.00
343.00,341.00,359.00,407.00,302.00,319.00,413.00,334.00,355.00,328.00
329.00,330.00,407.00,381.00,355.00,317.00,303.00,341.00,405.00,319.00
163.00,23.00,173.00,42.00,238.00,201.00,299.00,19.00,115.00,138.00
23.00,178.00,42.00,115.00,258.00,163.00,173.00,118.00,19.00,10.00
343.00,302.00,341.00,359.00,407.00,413.00,355.00,364.00,378.00,317.00
317.00,407.00,343.00,355.00,319.00,330.00,329.00,341.00,405.00,358.00
163.00,23.00,173.00,42.00,138.00,201.00,238.00,299.00,19.00,115.00
118.00,115.00,258.00,138.00,23.00,19.00,173.00,163.00,42.00,116.00
115.00,23.00,42.00,258.00,163.00,173.00,178.00,118.00,19.00,138.00
413.00,343.00,302.00,407.00,355.00,359.00,341.00,308.00,319.00,324.00
355.00,407.00,330.00,317.00,329.00,319.00,303.00,405.00,370.00,341.00
163.00,23.00,173.00,42.00,201.00,138.00,238.00,299.00,19.00,115.00
42.00,173.00,23.00,115.00,163.00,19.00,179.00,238.00,178.00,138.00
138.00,23.00,19.00,201.00,173.00,163.00,86.00,118.00,42.00,116.00
343.00,302.00,341.00,407.00,359.00,413.00,355.00,303.00,319.00,383.00
317.00,407.00,355.00,330.00,329.00,303.00,405.00,358.00,319.00,384.00
163.00,119.00,23.00,173.00,106.00,42.00,201.00,238.00,299.00,19.00
163.00,23.00,173.00,115.00,42.00,238.00,19.00,143.00,49.00,299.00
23.00,115.00,42.00,258.00,173.00,163.00,19.00,138.00,85.00,238.00
138.00,163.00,23.00,19.00,173.00,89.00,42.00,118.00,116.00,115.00
343.00,355.00,407.00,413.00,302.00,341.00,359.00,370.00,364.00,319.00
317.00,355.00,407.00,330.00,329.00,303.00,405.00,358.00,319.00,341.00
163.00,23.00,173.00,115.00,42.00,143.00,238.00,201.00,299.00,19.00
42.00,115.00,238.00,23.00,179.00,173.00,163.00,299.00,19.00,138.00
258.00,23.00,138.00,173.00,163.00,42.00,19.00,115.00,280.00,238.00
302.00,343.00,341.00,303.00,407.00,355.00,317.00,359.00,413.00,305.00
329.00,303.00,317.00,330.00,407.00,302.00,355.00,341.00,319.00,405.00
163.00,23.00,173.00,138.00,42.00,201.00,238.00,299.00,19.00,115.00
42.00,23.00,115.00,163.00,173.00,19.00,238.00,10.00,138.00,299.00
118.00,138.00,23.00,163.00,173.00,19.00,42.00,116.00,115.00,238.00
343.00,341.00,407.00,302.00,359.00,319.00,334.00,303.00,413.00,328.00
317.00,407.00,330.00,355.00,329.00,303.00,388.00,319.00,386.00,405.00
201.00,163.00,173.00,23.00,42.00,238.00,299.00,19.00,31.00,156.00
115.00,42.00,23.00,163.00,173.00,19.00,178.00,238.00,143.00,138.00
118.00,258.00,138.00,23.00,173.00,19.00,163.00,27.00,42.00,115.00
