区域,北京,餐饮类型,川湘菜,店铺id,609620054,店铺名称,潇湘府（航天桥店）,经度,116.311779,纬度,39.924727
用户,星级,评论
匿名用户,5.0,环境好，服务好，菜品荤素搭配合理，且色香味俱全，去了N 多次，总体感觉是太棒了！
msk19730,5.0,太值了，关键是每道菜都可口！
Qwy752928632,5.0,很棒
匿名用户,4.0,环境干净整洁，服务态度好，味道不错，值得再来
xZF443677743,5.0,之前在望京店吃过，全家人都喜欢，这家店口味也一样好
qhywh,5.0,性价比高，环境好
EMA626747907,5.0,很好吃上菜很快
kYu278346681,3.0,服务好，环境优雅，味道还挺好的，价格实惠
涛涛4674,5.0,
Cud124130778,5.0,
呵呵凡子,5.0,
chaijd,5.0,
jLX739828729,5.0,
bigben63,4.0,
SLF652876813,5.0,
SLF652876813,5.0,
1qaz0p,5.0,
精华火腿,5.0,
wawa8453,5.0,
dada8453,5.0,
疯子一样飘过,4.0,
abegin,5.0,
区域,北京,餐饮类型,小吃快餐,店铺id,331700,店铺名称,银村街粥店（看丹桥店）,经度,116.291845,纬度,39.841282
用户,星级,评论
匿名用户,5.0,好多年了，味道一直很好。
gun108052327,1.0,做的菜都坏啦……愣说是没事，我就想问吃坏啦你们能不能负责
东升8830,3.0,上菜速度有点儿慢，服务很好，就餐环境不错 #雪耳润肺粥# #酸汤肥牛# #花式果粒冰粥# #红豆薏米美肤粥# #桂花紫米冰粥# #韭菜炒鸭血# #老醋菠菜花生# #南瓜百合粥# #小炒有机菜花# #银耳雪梨粥# #干锅有机菜花# #干炸丸子# #酱爆鸭片# #排骨豆角沾卷子# #豆角焖面#
UOB416414116,1.0,不好差 上当  米饭发黑  冰凉   鸡蛋汤就是清水冲的 难喝 像刷锅水  肉是凉的   很差   好久没来过这么差的地方了
匿名用户,2.0,啤酒鸭就是几块鸭脖子和一两块正经鸭肉，还有几块鸭皮价格38。跟服务员反应，服务员说：我们家的就这样
社会你哲弟,1.0,过年服务差劲儿，尤其楼上的老年服务员服务态度差劲！！！
叫七哥就行了。,2.0,失望了。装修完了以后量小了。味道也差了。避坑的话炒面不推荐。面碎，油大。 糖醋里脊的话味道可以。可是量小的让人感觉是消毒餐具里边的那盘子似的。东北乱炖。嗯。。真是乱炖。。。粥的话跟之前味道区别不大。不做评价。所以。。装修完以后准备去喝粥的其实还好。炒菜的话别做期待了。大不如从前。
dyli甜甜圈,5.0,上菜很快，值得推荐。大众消费，分量足 #生滚鱼片粥# #雪耳润肺粥# #酸汤肥牛# #南瓜百合粥# #韭菜烧鸭血#
匿名用户,4.0,味道还行，离家近经常在这吃
爱吃小女子888,4.0,还不错
匿名用户,5.0,不错，味道还可以，价位便宜
孙海晶,4.0,"烧烤不能用代金券不开心了！
挺规矩的味道。
营业时间很长是大爱。
芝麻酱糖饼是必点的美食，家里人尤其爱！
夏天的冰粥是亮点，甜甜的，但不腻人。
锅贴不油，口感很好！
那天我还吃了什么，我怎么给忘了，人都说:记吃不记打！我怎么吃都不记得了！"
匿名用户,3.0,"First n foremost, customers couldn't allowed to use this discount for many dishes such as mutton shashlik n specials prepared for each day. In the second place, a bunch of dishes are a bit salty but taste not bad, while the porridge is so thick. Last n at least, I saw one little fly. That's all. BTW, there are some chinese ppl with low qualities. #酸汤肥牛#"
匿名用户,3.0,肉饼味道不错，粥品种很多样，上菜速度快。
Sir375408113,3.0,主要是离住的地方近吧，食材还算新鲜，鱼片粥里有刺，要小心吃，皮蛋粥和鱼片粥里都有芹菜的，有忌口的可以考虑看看，口味都偏咸，豆角焖面里加了蒜，味道还不错，不过也偏油，炒河虾味道是点的里面最好吃的吧，还算可以吧，毕竟在北京这个价钱吃顿饭还算实惠了。
sjw55999,3.0,经常来，总体还行！！！！！！！！！！！！
Jillzhouyu,4.0,很满意离家近
匿名用户,5.0,很家常，很可口
匿名用户,2.0,越来越差劲，因为家门口，一直去，可是越来越贵，越来越难吃了………
willionxf,5.0,喝粥的好去处
YIB827879685,2.0,就要那样吧！服务态度不好，菜量小
zxcasdqwe123321,2.0,还行吧，热菜偏咸，冰粥不错👌👍
匿名用户,1.0,点菜喊四五遍，菜好了4个服务员5分钟不端过来，都偷奸耍滑想少干点。这饭馆还改成先结账了。
小诺的天使猪,5.0,鱼香肉丝，宫保鸡丁炒的都很好吃
生活不经意的精彩,3.0,烤串不错，麻婆豆腐也不错，粥口感不错，本来想夸凉菜的，但忘记名字了
匿名用户,4.0,哈哈哈哈哈好开心好喜欢💕！热
aHK758692411,5.0,物美价廉，便宜实惠！下次继续带领全家来吃
aHK758692411,5.0,没少来他家吃，永远支持你！！！！
aHK758692411,5.0,物美价廉！实惠的很！
匿名用户,3.0,菜品不错，就是最近菜量减少了。。。。。。
USJ603349323,3.0,还不错、粥很好喝，团购比在店里吃划算
匿名用户,3.0,挺好的                             常客     一直很喜欢吃他家的饭
shuai130,1.0,服务巨垃圾，别去了吧就。菜品一般很一般
jiangchen1618,4.0,菜品口味不错，服务还行，离家近！
狂哥你好,4.0,生病时喝点粥，简直最好不过了~
狂哥你好,4.0,很好喝，生病时喝粥，最佳选择~
匿名用户,5.0,很快很好很方便。
dyli甜甜圈,5.0,一直在这家吃爆炒猪肝，韭菜鸭血，豆角猪肉饼，味道很赞，价格实惠
qust_zz,5.0,酸菜鱼好大碗，粥也不错就是略贵，菜品超值
匿名用户,5.0,在家附近 一没得吃就来喝粥 非常方便 主要离得近还好吃 什么时候喝粥都可以 营业时间也非常长
芳芳的笑,2.0,味道，价格都还行，就是有一个非常不好的体验，点完菜非让你立马买单，我说一会我去前台买单都不行，因为来过很多回了，以前都是吃完再买单，后来就不行了，好像生怕人不买单似的，搞的人不爽
qust_zz,5.0,酸菜鱼不错，好大一碗
看丹伊人,3.0,这家店离家很近，经常去用餐，价格实惠，口味也不错。
FKv665702679,1.0,环境还行   服务很差  都在忙自己的事   看手机的  打闹的    米饭还是凉的  
qLk705355612,5.0,住在附近，经常去吃。随着装修，环境是不错，但是明显感觉口味没有以前好了……
