用户,星级,评论
OLZ517778016,3.0,蛋糕好像没有10寸 口味还可以 就是有点小了
匿名用户,4.0,挺好的
TIa283280436,5.0,很不错，已经买了很多次了
TIa283280436,5.0,很不错，买过多次了
haiyana1314,5.0,很好很棒
匿名用户,3.0,东西还不错。好吃，性价比👌。送的很快，一个小时左右就到了。
li冷温柔,4.0,口味不错 价格合理
gmr596648839,5.0,买了好多次了，一如既往的好吃，卖家服务态度也很好，支持你家
阿困阿乏,3.0,还不错，很大份，性价比很高，会回购
tKl246564986,5.0,商家服务态度很好，送货也特别快，味道还不错
栀夏°313,5.0,挺好的
匿名用户,5.0,强烈推荐的一家店，网上订购后可以送货上门，免去自提的麻烦。他家蛋糕的品种多样，价位也非常实惠，值得订购！ #心花怒放# #黑森林# #甜粉佳人# #孔雀开屏# #幸福美满# #水果情缘#
Gpa769171433,3.0,唯美价廉，赞赞赞，/xxxxxxx
Knn897779014,5.0,甜而不腻，性价比很高。还会光顾哦！
UlV538022383,5.0,看啦那么多评价，我以为蛋糕不好那！但下单后店里很热情！还发我信息，蛋糕送到家！真是很感谢店家！值得够买！很不错！服务到位
匿名用户,2.0,蛋糕做的很好看，但是有点薄，而且奶油没有想象的那么好吃，有点心里落差啊！
RXp877960665,1.0,味道一点都不新鲜，都浪费了！😭
ETm320812148,2.0,先看评价然后买的，最后才理解中肯的评价，钱已经花了。生日蛋糕口味很一般。
可提前点送达哦,5.0,非常好，满意。
丿Km,4.0,女朋友说特别好吃，她满意我就满意了，谢谢！
lYS782736532,5.0,"1.做的特别好看  10寸 够大了 不错
2.特别好吃  不腻   
3.配送很快  很及时   谢谢卖家
4.推荐给大家，值得够买。"
匿名用户,3.0,【口味】整体还不错 四个人吃有点多
微风拂过桂花香,3.0,只要价格上去了，吃啥都不错，这家店一般吧
匿名用户,5.0,味道不错，挺好吃的。送货也很快。
Nnw381637177,5.0,非常好
白小乄,5.0,很好吃
罒咗手_,4.0,不错，很晚才定，很快急送过来了
吶一抹卑微的承諾,2.0,是得看图说话真是小的不要不要的。钱可能花在皇冠上了。
匿名用户,5.0,快递超快
Dillon_Wang,3.0,一般般……，送货上门还可以……
闻德丽,4.0,奶油酸酸甜甜，爸爸很喜欢，水果也很多，和图片一模一样，值得拥有
jOe246037270,2.0,真心不咋样 尤其服务态度。总体来说很不好
PMw721868755,4.0,我觉得蛋糕不错，便宜好吃
xbG730253655,4.0,很好的，价格也实惠
傲鹰飞翔,5.0,服务非常好，送到家里辛苦啦！味道也很好！
匿名用户,3.0,补补可口可乐了看看，不考虑考虑
半瓶儿晃悠,2.0,不知道是不是因为蛋糕做的太早了，我们当天晚上吃的，实话说，店里老板和员工态度都不错，但是这款蛋糕真的不好吃。
aaK612673362,2.0,还行吧，就是奶油有点腻，太多奶油了，招财猫本来就是买来看的，没打算着要吃
匿名用户,3.0,经济实惠又好吃，店家态度很好。 #浓情蜜意#
gqD109318031,5.0,蛋糕味道还可以
aPS165101411,2.0,价格一般质量一般水果有点质量不好
麻花灰太妈,4.0,预约的蛋糕，送货上门，很准时，蛋糕漂亮。
匿名用户,5.0,不错的东西  送人很给力
pw627023739,5.0,非常好迟，口感很棒还实惠
匿名用户,3.0,挺好的，速度很快。很好吃的，挺实惠
匿名用户,4.0,他家的蛋糕做的很好还给配送点赞
PaW859795520,5.0,很实体 也精致 快递给力
匿名用户,4.0,口感不错，价廉物美，我会再买。
雪候鸟守候,4.0,北京来说价格很实惠了味道也不错  高效准时 好评
OaK612662617,3.0,已经很多次来购买了，还可以，感觉不错
tBF974160770,4.0,味道不错
讨好自己09,4.0,蛋糕挺新鲜的，蛋糕味道还不错，奶油甜而不腻，早上八点多订的十二点多就送到的，唯一的遗憾是，上面可以写字而忘记写了。
MCX713117551,4.0,母亲过生日，很喜欢。小孩儿喜欢吃奶油，四口之家，十寸的也挺大的，两顿吃完的，也不算太甜，再过生日还会购买的。 #蛋糕水果#
hgn740956000,2.0,买来就德性了，懒得说了，影响心情。
Mr.Li威,3.0,在这里定了两次蛋糕了，挺不错，性价比高。
匿名用户,4.0,口味很好！
匿名用户,2.0,真是没得说的一般，打开美团排第一位的推荐，还不如之前再淘宝上买的，真是非常失望，奶油口感不好，里面夹的水果好像水果罐头那种也吃起来干干的
qPJ578968673,4.0,好
qPJ578968673,4.0,好
GtE519148971,4.0,蛋糕非常好，加油
匿名用户,5.0,蛋糕很好吃，过生日必买他家的。
深爱116,3.0,味道还不错。在他家买了好几次了。
wang_qian_85,5.0,蛋糕很好吃实惠。比约定时间早了一小时就送到了。可惜第一次蛋糕被快递师傅磕到了一小角儿。立即联系商家要求换一个。因为宝贝儿过人生第一个生日，不想要破损的蛋糕。卖家二话没说表示歉意答应重做一个，还好速度挺快，2个小时后送到了。这次一点完好无损，蛋糕很美味，孩子们很喜欢。谢谢老板，祝生意兴隆。下次还来你们家。
sxm宝,3.0,还是可以的  就是感觉水果好酸   但是中间蛋糕芯 好吃😋
叶戈洛夫娜,3.0,送朋友的，送的挺及时的，朋友说味道不错，啦啦啦(✪▽✪)
匿名用户,5.0,很不错，非常满意。
锐雯雯雯雯雯。。,3.0,挺好的。没想象种中那么好。。。。。。。
Rbz124114751,4.0,我觉得挺好的味道也很好吃。管送货
Wxy8347,4.0,很喜欢，味道不错，朋友们都说好
匿名用户,1.0,说真的 去年买的十寸 感觉比这十二寸的都大！ 一打开傻眼、好小  外圆是12寸的、但是高度实在是太小、感觉好小气、送人的  丢人！ 卖家直接在高度上减量  差评
ZdO104186135,3.0,都要记评价了   蛋糕不错   这大夏天的晚上 忘记放冰箱了  转天有些尴尬了  哈哈哈
WOZ855295660,3.0,【口味】还不错吧！性价比高！！！！！
匿名用户,2.0,味道一般，没有之前好吃，应该不会再买这家蛋糕了。
WRs611339265,5.0,非常美味，买了好多次，服务态度很好
ElenaL0921,3.0,挺好的。水果不是很新鲜，应该是罐头的，但是还不错。分量很足
匿名用户,2.0,太难吃了，吃完拉肚子了，奶油有点酸
cpc3561567458105,4.0,孩子非常喜欢，看着很精致，有需要在来
匿名用户,5.0,蛋糕好吃
pfA758178577,4.0,蛋糕味道还不错，水果是罐头的，不过按价格来说也很实惠了，配送很及时，那么远送过去一点也没坏，很满意
啊额奥,2.0,还凑乎，，，，，，，，，哟我在哪里啊我就
绽放的雪绒花,5.0,很好
gyP774156769,2.0,蛋糕是超薄的，很薄。虽然价格不高，味道还凑合，就是太小了。
trp454919653,5.0,特别特别好吃，图片找不到了，反正很实惠
gmr596648839,5.0,一直都喜欢她家的，便宜又好吃，买了好多次了 #蛋糕水果#
匿名用户,1.0,快递拿来时候蛋糕有一个角碎了，这是小事，主要是蛋糕的水果是酸的，夏天水果都放坏了，弄的蛋糕也是酸的。不是很好吃。
qss772376624,5.0,真心的感谢店主的蛋糕🍰本来还以为早上太早上地铁不容易买到蛋糕呢！结果很热心的给送到了地铁口！而且味道也不错！祝老板生意兴隆！很感谢！
何馨儿888,4.0,很不错，口味也是大人小孩都喜欢的，包装精致
mqP497931837,5.0,蛋糕很赞，价格实惠
RkD803888394,5.0,第一次在网上买蛋糕，很惊喜，蛋糕不错，够大，玫瑰花很漂亮，口味也可以，送的也很及时，母亲节准时送到，送给妈妈的母亲节礼物，拍照时已经迫不及待切了两小块吃了，很赞，下次还买 #蛋糕水果#
备注七七.,5.0,朋友很喜欢
IFs549583525,4.0,外卖员态度很好
zeng642116,4.0,蛋糕很好
匿名用户,5.0,蛋糕挺好吃的，速度特别快，很满意。
青禾H,5.0,超实惠~~味道也不错
长木的石头,3.0,还好吧，味道一般，这个价格可以了
匿名用户,5.0,很棒的店家，价格实惠，自己不小心说错了地址，害得配送小哥来回跑，但小哥还是很耐心。
zhenglaitian,5.0,真的很棒，给远在北京的妹妹定的生日蛋糕。商家人很好，准时送到。妹妹说蛋糕很不错，好吃。必须好评！推荐！
QPi844770750,5.0,不错 奶油很新鲜 很漂亮 好吃😋
匿名用户,4.0,真的很棒哦，物美价廉！
王者明朗,5.0,挺好，师傅很懂我哈哈哈哈哈哈哈哈哈
匿名用户,1.0,蛋糕和图上差别挺大的，说让写一下生日快乐，给放了一张纸片。
jPn535177667,4.0,【口味】好吃
1苏馨,5.0,蛋糕很好，
yehao227799,5.0,很好
ZJy445962488,5.0,蛋糕是提前一天在美团上订，然后电话沟通，真的性价比很高。特地要求做只小猪，店家欣然同意，很可爱的蛋糕。非常满意，以后生日蛋糕就这家了，送货也是很准时的。
sZK171509350,3.0,物美价廉，味道还可以，主要是价钱便宜
Emanda34,4.0,经常定他家的蛋糕，物美价廉
Z德阳123,2.0,味道一般，甜味比较奇怪，，，不卫生
侬人，愚人,4.0,还不错，送给哥们的，因为想要小孩了，送了一个小姑娘的！
匿名用户,2.0,只能说上凑合上边的苹果都有点干皮了有点味道还有就是蛋糕真挺薄的
req615607217,2.0,只能说和图片差的也太多了吧，口感也不好
我是王云鹏啊,1.0,太一般了。没感觉哪里好。太贵了。下次肯定不来了
匿名用户,5.0,下单到送货上门很快。味道也不错！
ejA727446066,5.0,美团买的，今天上美团发现去年的蛋糕既然没有评价，蛋糕很满意。
匿名用户,4.0,味道不错，喜欢
沛penny,5.0,蛋糕很好吃，真的太优惠了，老板按照我的意思给放的logo也很合适，这价格简直了，送货小哥也很nice，下雨天把蛋糕完好无损的送过来，下回再定个大的
匿名用户,4.0,不错，送弟弟的，很好，还会继续光顾哒
常先生4,4.0,好吃
aIL329329020,4.0,蛋糕不错，第二次在他家购买了。价格真的很实惠了。建议店家把蛋糕图片和名称匹配下，我找的时候就没对上哪个是哪个，最后发图片问的。其他的很满意。
雲小主,3.0,蛋糕相对而言做的比较简单，但比较简洁大气，奶油很新鲜，但蛋糕偏干一些，配送服务挺好的，很及时的送到了。
独宝88,5.0,一如既往的好评，已经不知道第几次在她家购买了，奶油甜而不腻，样子也非常漂亮，姑娘非常喜欢，会再次购买的
木槿与暮785,5.0,外观跟口味都很棒呀！配送到学校～ ，有机会还来！
可爱的敏儿710,2.0,蛋糕只能说还行吧，送蛋糕的人服务态度很差，说好的送到楼下的，结果让我去地铁站接他，去地铁上找他拿，真心无语，蛋糕吃的也不好吃，奶油很腻，总之这次购买很不开心，建议各位买家要慎重，无语，哎。。。。。。。
gIC187054961,4.0,蛋糕还不错
Jiaxueyuki,5.0,蛋糕真的很好吃，送的人也很负责任，还会再次光顾的
区域,北京,餐饮类型,生日蛋糕,店铺id,1649358,店铺名称,最爱时尚蛋糕房（劲松店）,经度,116.473447,纬度,39.879555
用户,星级,评论
季伟志,4.0,很好，很不错，快捷，方便
ziyuanyang,5.0,是朋友过生日，给朋友临时订的，没想到还不错，主要是老板好，有什么要求他尽快的答应了，很好说话，做出来的效果也不错，棒棒哒，朋友感动的都哭了，哈哈
马晓红2013,5.0,卖家热情，蛋糕好吃
ckW386905279,5.0,这蛋糕超美的超美的超美的！！！
昊哥哥0916,3.0,我们的生活方式越来越好吧、我们的团队成员之间关系越来越好
ICQ149245776,4.0,蛋糕很好，，很完美。也很赞，味道还不错的，
OKv585170951,5.0,商家特别用心，送达很到位，特不错的一次消费、
李敏805,4.0,蛋糕非常好吃，送货上门的，服务态度好，点个赞
mDd357018200,5.0,特好吃，也好看，送蛋糕非常准时
匿名用户,4.0,挺好的，口味挺好，已多次购买
wGb558060972,5.0,服务至上！口味至上。非常值得大家选购！
mhG420087564,4.0,挺好的😄
TQ526,2.0,还行吧，不咋的好吃。价格在那里了
匿名用户,5.0,经济又实惠
匿名用户,1.0,假期人少，蛋糕质量堪忧，都变质了
Dgs392265378,5.0,之前订的蛋糕一直没时间好评，和朋友一起挑的蛋糕，非常棒，蛋糕是冰雪奇缘，还是双层的，感觉值这个价了，上边是奶油，还有很多巧克力，吃起来也不错，可惜后来都大战浪费掉了，哈哈哈哈，下边的蛋糕是水果夹心，还是七彩的夹层，，时间有点长了，可能会更新了吧，具体问商家吧，哈哈哈，这次买的真心不错啦，如果有机会，我还会再次光临本店的，希望商家多多推出新品，多多优惠啊! #执子之手# #彩虹星星# #双层彩虹蛋糕笑脸# #冰雪奇缘#
QdP779688763,5.0,58
RXn889134017,1.0,蛋糕太次啦、里面的面包不知道储存了多久，吃着硬帮帮的。全都是奶油。太一般了 #双层彩虹愿望树#
乐老鼠,1.0,一般，奶油太少，就薄薄一层，我见过最薄的奶油，水果也不舍得放，整体厚度也薄，真会偷工减料！！！
TKP668408058,4.0,一年多了还让评价
IOC380339231,5.0,奶油不腻，很好吃
ld718003956,3.0,还可以吧没吃一半就扔了，就是一个意思都不爱吃
匿名用户,4.0,好吃好看 忘了多少钱买的啦。反正不错
gIc499202510,5.0,"【口味】

【服务】服务很满意 小哥大热天给送到六环。 蛋糕和图片一样很满意"
gHp828383,4.0,【服务】好
超爱雨晴,2.0,一般一般一般吧。真心一般一般吧
文与墨,5.0,味道非常好 包装也精致 蛋糕还是双层的 总之很满意 物美价廉 物超所值
多哇多呀多,2.0,太甜了，颜色有点丑，与图片好大色差，图片色粉色特好看，真实的蛋糕好丑颜色好土
美味汇惠,3.0,做的很及时，挺不错的👍，下次有需要好会继续的预定
mLz132936967,4.0,比想象的要好的多、到货很及时！ #冰雪奇缘#
匿名用户,2.0,一点也不好吃，不会再买了，还是去常买的店铺买吧
jnl560182538,5.0,蛋糕非常好，第一次网上定，样子好看，味道很好，送货也好，完好，以后有朋友需要会推荐
npC105331433,5.0,蛋糕很漂亮。也很好吃
andmecj,4.0,我没收到东西，怎么办。。。。。。。。。。。
圈laura,4.0,很好！忘了评价了一直！推荐！强烈推荐
程斌哥355,1.0,这家店，我经常光顾，开始还是不错，现在连她们董老板这人都不真诚，和送货师傅一起说瞎话，我闺女从外地考上大学，今年从外地赶到北京家里人和在北京的亲戚朋友给我女儿过生日，一年一次，值得纪念，可是这家店送的垃圾一样蛋糕看图片就知道我当时的心情，送货上门的师傅非要说送货时，我爱人当面打开看了，我爱人电话当时和送货人对质，对方当着老板面承认说瞎话了，最后老板没有任何诚意，就这样的店铺的态度希望大家擦亮眼睛别去，下面发送的图片经过家人细心整理出来的效果
zhang落雨,4.0,还不错，在北京算是挺便宜的了！
mcg1992,4.0,很满意
可爱的小彦,4.0,还不错呢  这是给男朋友过生日定的~
匿名用户,2.0,字体用白色奶油写的，根本看不出来写什么，关键是谁家过生日用白色字写啊，不开心。
匿名用户,3.0,口味很好，量足，口感很好👍👍
南区食堂,5.0,很好，我就他家喜欢准时！非常好
RhB964586230,5.0,蛋糕很好吃 价格还实惠 之前都是买好利来的蛋糕 没想到这个价格和好利来的蛋糕差不多 好吃
神仙妹妹001,4.0,蛋糕不错
大锡子,3.0,价格不贵，好看不好吃，蛋糕胚子有酸味，不太新鲜
uLT440971535,4.0,真的很好，朋友过生日，冬天那么大风，地址偏僻，送货上门还那么准时
syO637489252,4.0,很大很实惠… 蛋糕也特别好吃
wDR716116882,5.0,真的很不错，提前预订的，都很喜欢
匿名用户,5.0,这个蛋糕是如此的好，做工精良，派送速度，服务较好。
南区食堂,5.0,非常好，很准时
匿名用户,1.0,送朋友的给我拍照片了，糊弄人，
LGq151049464,3.0,送货很快服务不错，蛋糕的奶油很多，
Edp422452412,5.0,已经第二次订了。味道很赞！
萌孩子哈,5.0,这个蛋糕考虑了好久，不知道在哪定，后来老公推荐的，我就看了，不错👍，真的是很棒啊，刚开始以为谁家都差不多，但是其实不一样，爱时尚家的蛋糕做的不仅很细致，而且口感也特别好，服务态度也特别人情，非常喜欢，很满意，我很少这么评价的，过的真的很开心的一次生日🎂
匿名用户,3.0,挺好吃的但偏甜了，但是偷工减料呀，8寸哪有像6寸的这点不好
sxq向前,4.0,送的速度挺快，蛋糕也非常不错
匿名用户,5.0,蛋糕很漂亮，又很好吃～家人都说好～是刚好来北京旅游碰巧是婆婆生日，真是一个不错的回忆～提前让店主送蛋糕，很豪爽答应了，送得很快，送蛋糕的人很细心～
dx6556,5.0,蛋糕造型不错，味道也很好，送货及时，必须赞一个！下次还在你们家订！
匿名用户,3.0,服务很好，按照自己的要求做了。就是蛋糕不新鲜。吃起来口感一般。
jbv90860168,5.0,非常好！物美价廉。
内个混蛋喜欢我,4.0,"黑森林味道不错，而且挺好看的，除了上面的黑巧克力一直掉渣，掉的身上也是桌子也是地上也是之外，别的都挺好的，但是谁让她好看呢哈哈

很大一个，真的没想到，我们俩人一人1大块，分给别人2块，还剩半个，放冰箱又吃了2天"
匿名用户,5.0,挺不错的，蛋糕非常好看，吃着也好吃，给自己喜欢的人买的，虽然还不是自己的女朋友…但是他很喜欢…
LkW641758497,5.0,蛋糕🎂好吃服务周到送货及时。点赞👍
mhG420087564,4.0,蛋糕🍰真的很好，除了个人不喜欢小西红柿，其他都很好，蛋糕口味适中，不甜腻，因为有小孩子很快就吃完了，也没顾得上拍照，会回购的，真的很好(✪▽✪)
统领翠花楼,5.0,不错
匿名用户,3.0,很不错的，经济实惠，服务态度也很好
oqQ594403971,4.0,蛋糕特别好看，服务也挺好的，我很喜欢
静96A,2.0,蛋糕不错，就是蛋糕定重了店家也没说
liom,5.0,不错 蛋糕挺好 挺好吃的 服务也不错
BPA317884898,2.0,"蛋糕倒是不错。 
生日蛋糕 是不是应该给个生日帽？

就算不过生日。是不是应该给你刀叉？"
dRp406522712,5.0,蛋糕很好吃，送货及时奶油特别多，超喜欢~
康iao,4.0,挺好看的，还没尝，不过同事很喜欢
mHa383202566,2.0,蛋糕硬，奶油口感一点儿都不好   而且蛋糕做的特别薄尺寸够大厚度不够
WKV205889669,4.0,给闺蜜订的，她说很好吃，图片上看也很不错.
任小惠,4.0,蛋糕不错，宝贝喜欢，17个孩子连吃带拿都有了。
FLL218803742,4.0,挺好吃了，蛋糕松软可口。回家晚了没有拍到照片
张娜19860204,5.0,蛋糕非常漂亮，女儿自己选的，昨天取回蛋糕的时候邻居们都说好看，还问我要了链接，晚上带女儿去饭店吃饭的时候有两个服务员也过来问我蛋糕在哪里买的，还分享了链接给她们，今天来上班同事看了我发朋友圈的照片也让我分享链接给她，这蛋糕让我十分满意，以后订蛋糕就选这家了
QJJ427671582,5.0,感觉真的特别好    包装也特别好看   非常满意
greentree_2008,4.0,准时送到，卖家态度好，蛋糕实惠味道好。
ying891208,1.0,味道不怎么样，果然一份价格一份品质～
匿名用户,3.0,第一次网上定蛋糕🎂，很满意吧
Hqw985254077,5.0,特别棒呦
匿名用户,1.0,连切蛋糕的到都没有，你是让我拿手抓着吃呀
匿名用户,4.0,蛋糕挺漂亮的，就是回去的晚了就剩一块了，没有上传照片
zhangjinbo111,5.0,非常不错，舍友过生日买的，看着很大，几个人吃完全没问题，老板人很好，送货非常准时，必须给个赞\(≧▽≦)/
黄鹤楼味道,5.0,刚拿到，一百多买到个双层蛋糕，相当满意，超乎我想象的大，必须好评
匿名用户,4.0,很好！
qUB188631651,5.0,老板人特别好，蛋糕也特别好，很实惠，味道很不错，很新鲜，不会像别的蛋糕有怪味道，还送货上门，非常不错，送货上门时候手机突然停机了我不知道，老板竟然还给我充了20块钱话费很意外，说跑了好几趟，很抱歉，当然后来我把钱给老板了，人特别特别好，祝生意兴隆
WW357111086,4.0,送人多，没见实物，应该还可以吧
南瓜得得,5.0,蛋糕做的真不错呢 #奶油蛋糕#
fOj749292022,4.0,那么晚了也给准时送到了，非常感谢
匿名用户,3.0,不适合孩子吃，吃完舌头都染色了
iis791726432,4.0,不赖不赖
BLR642071146,3.0,蛋糕一般口味不敢恭维夹层水果都是罐头厂品，隔天就馊了。
ifJ300836113,3.0,非常好，蛋糕吃着油而不腻，香甜可口
FUQ489405116,5.0,非常满意
没有就是科技,5.0,送餐员脾气服务挺好，并且提醒我确认蛋糕没损坏。水果夹心的，味道还不错
vZd978721756,4.0,很快 晚上订的第二天中午就到了 很好吃
你看不见我3630,1.0,不喜欢，奶油一点都不好吃，水果也都是罐头的
vivianmeimei1,5.0,很不错，接线的老板娘声音很甜。按时送到，蛋糕很漂亮
匿名用户,2.0,还行吧，不是特别好吃，水果不新鲜，基本都是罐头，
匿名用户,3.0,口感还行，水果不是很新鲜，样式好看。
eqp802792828,5.0,送过来的 挺不错！下次还买
匿名用户,3.0,蛋糕味道还可以，巧克力不太合口味
yGi165157515,5.0,蛋糕真的很不错，不知道怎么会有差评，价钱是这么的实惠，真的真的很棒
掌上明珠bobo,5.0,挺好的👌都说好吃
源宝儿999,5.0,好
匿名用户,4.0,还没吃，看着很好看
wazmshu,5.0,蛋糕很不错，而且给配送，好评。
匿名用户,4.0,不错忘记评论了，很好吃记得m9(´∀｀)就是你！
hmr725,5.0,蛋糕很松软，挺好吃的
Vzx786841003,5.0,不错的
DavidLewis,5.0,味道棒棒哒，三层蛋糕🎂做的很好看很大气很时尚
aqc872492380,4.0,蛋糕口味整体一般吧，吃着里边蛋糕部分有些干和涩。论型号和量来说，还是比较有优势的
gKf481913338,5.0,相当不错，还配送，
熙94925,5.0,还不错，挺好吃的，味道很好，奶油有点油
Azq496180489,5.0,这是第二次购买了，口味不错，有创意！就是这次订小了，希望再有新的创新，送朋友都很开心！
GBO848258082,5.0,便宜实惠，好吃不腻，第二次买了
vzd855145420,5.0,挺好的 价格实惠 配送及时，孩子们很喜欢
bgt195362302,5.0,不错
bsD572577786,5.0,很满意，朋友过生日买的
rgK865410974,5.0,蛋糕口味好，大家都挺爱吃，新鲜。
匿名用户,5.0,不错很好，下次还会光顾
Vxr391723805,1.0,说7点就敢到7点到，早一点都不行，真是服了
jbv90860168,5.0,味道很好，快递小哥冒雨准时送到
我是大款帅哥,3.0,很一般，真没什么可说的，就是一般般
pUu630581539,5.0,口味很好，服务满意，会做回头客的
Xaf859022445,1.0,惊喜的是只有一个蛋糕，蜡烛，和叉了，碟子都没有，这是让我们用手抓着吃吗，这种情况都会出现，以后还怎么敢在这家买蛋糕呀
敏馨阳,5.0,蛋糕口味不错
匿名用户,2.0,卖家居然记错日期，。。。。。然后就做出这个样子？无语，生日蛋糕给人能记错也只有你家了，而是做的最难看一个。差评！
穷儿开心,5.0,第几次订他们家的蛋糕了不记得了，只记得价廉优美，味道好，送货守时。
匿名用户,1.0,头一次预定蛋糕不怎么样，给公司同事订的，同事很不满意我也很没面子，碎蛋糕拼的，很差的体验
SvO364175023,4.0,蛋糕海油很新鲜，就是外面的果酱太酸了
hUj242756922,5.0,帮老哥订的，他说蛋糕很好。谢谢老板，准时送货。
Cc“冰柠檬”,5.0,蛋糕送来很准时，打开一看很惊喜，做的很精致，是我想像中的样子，味道也很好，家人表示蛋糕做的好，以后还会光顾你们的店！值得推荐！
hFe646265012,5.0,挺好的，很快哦😊😊
SELFl,3.0,还可以，只能说这个价格可以了。。。。
_qqzvc1416816108,3.0,一般，还是现场订好吧，口感不是很好
Mr三七,5.0,很快就做好了，手艺看起来也很不错，整体性价比也很高，赞，不当一个网络孝子 #奶油蛋糕#
Rosa囍multiflora,5.0,给弟弟买的蛋糕，弟弟说很喜欢，很好吃
kap419059862,1.0,不是黑，蛋糕胚子用的肯定不是今天现烤口感奇差忍了。巧克力用的跟小时候吃的一毛一块无标巧克力一个味我也忍了，md吃着吃着吃出根头发来事什么鬼？exm？奶油也是腻的一批。。。。。不推荐这家
旮蹦豆儿,5.0,朋友很喜欢，味道不错，价格实惠，
娜娜1006,5.0,非常好！值得推荐
阿玲姥姥,5.0,蛋糕做的很漂亮送了也很及时不错下回还会再继续买
哥哥说的都是真理,5.0,味道不错，送货也非常快，好评！
gnz235787774,5.0,还不错  值得购买！！！！
qVf749735725,5.0,样式很好，味道也不错，服务态度称赞
真开心yzk,5.0,非常好，下次还会在来，快递很准时
以诺喜成,4.0,真实很好的呦……^_^
拼搏669,5.0,不错，送的及时。
匿名用户,5.0,蛋糕不错，配送及时，价格便宜 #奶油蛋糕#
a18339413684,5.0,口味不错，服务特好，份量挺大。
cpc3156726761583,5.0,还挺好吃的，服务也热情，只是不知道是植物奶油还是动物奶油。
yongai1987,5.0,非常满意的一次购物，服务热情，送货速度很快，非常感谢。
adas856533,5.0,实惠，便宜，下次还回来的，没吃饱
GYM133706576,5.0,太漂亮了
phW847234383,5.0,味道非常不错，快递也非常准时，说让5点左右送到，不到5点就送到了
幸运儿2566,5.0,还不错，就是定的卡通蛋糕奶油太多了，下次改定水果蛋糕
小小小小清雨,5.0,很好看，还没吃，应该不错吧，香香的味道
Xvi583431165,5.0,挺实惠的
gnA855485971,5.0,特别棒，朋友特别喜欢😘😘😘
穷儿开心,5.0,第二次买他们家的蛋糕，味道依然不错，材料新鲜度较高，但水果有点少，美中不足。但总体来说，全家人吃得非常开心。
爱吃才会赢没有腰,5.0,还不错，图案特别好看，闺女非常喜欢。 #双层青春洗澡娃娃#
梅期威666,5.0,还不错，挺好吃的，第二次在这购买了
梅期威666,5.0,挺好的，好看又实惠，吃起来还不错
郝泰然,5.0,各方面很满意
pZH151523633,3.0,一般般吧   跟想象有点差距   而且送过速度级慢  耽搁了好长时间   有点影响心情  只能一边打电话催一边等着
UYC561590202,5.0,挺大个的、经济实惠、
喝啤酒拿炸鸡,5.0,服务很周到，派送员也挺好的，点个赞！ #草莓时光# #DIY手工蛋糕# #草莓黑森林# #双层彩虹蛋糕笑脸# #澳洲风情# #冰雪奇缘#
yongai1987,5.0,非常满意，贴心服务，送餐及时，非常开心。
uKD505192753,4.0,送货上门，比较方便，蛋糕味道还可以，性价比高。
OpH77389781,5.0,不错，商家也很好，口味不错好评
美美家族我做主,5.0,给妹妹定的，说挺好吃，送的也快
简简单v单,5.0,服务很周到，价格实惠
Lshani,5.0,送蛋糕的快递小哥服务态度灰常棒！蛋糕做的很漂亮。真心不错！
匿名用户,5.0,特别好 我是在外地呢给爸爸定的蛋糕，他们还给送货上门呢，真的特别好 服务态度很好 ，蛋糕很大 物美价廉！很赞 #奶油蛋糕#
xuefeng310,5.0,还不错，性价比很好！！！
OHF879498920,5.0,很好，宝贝很喜欢，，店家服务态度很好，大赞👍
lbv723886431,5.0,挺好的  还挺快   10多个人   还没有吃完👍👍
yongai1987,5.0,服务到位，送货快，非常满意的购物，辛苦啦！
你就热了热爱,5.0,蛋糕非常好~
HFo521877025,1.0,蛋糕的味道真不怎么样，奶油不是好的，不推荐
QIANG强95,5.0,自己生日购买，味道不错样子也好看，喜欢
bo1011,5.0,还可以。送货及时。味道不错。
IWR594159805,5.0,蛋糕很好吃，不错
阿卜杜拉啦啦啦啦,3.0,口味一般，水果不新鲜，像是冷冻的罐头
WTQ827364936,5.0,味道不错，分量挺多的！
BbY108649651,5.0,蛋糕很好，和图片是一摸一样的，很大，物有所值，以后还来订，唯一是还要收运费，不过也还行吧，店主很热情！
yJC499933079,5.0,评价有点太晚了，真的物有所值
慢慢7460,5.0,超级棒的哎，👍🏻蛋糕也很好吃
区域,北京,餐饮类型,火锅,店铺id,1816984255,店铺名称,巴渝老灶重庆火锅,经度,116.15033,纬度,39.804535
用户,星级,评论
舒心心xin,5.0,服务不错 ，调料也是自己喜欢啥做啥口味的，两个人吃撑了也没有吃完，还赠了一个鸭血，喜欢，今天吃饭留个橙子🍊在桌上，祝老板心想事“橙”
匿名用户,4.0,味道不错，服务好。环境好
匿名用户,5.0,很是实惠，味道没得说，辣的喷香，推荐品尝，吃过一次就想下一次，老重庆火锅的味道，猪脑，鸭血必吃，棒极了😏
CHj544797452,5.0,好吃得不得了，味道超级正宗。强烈推荐。
匿名用户,2.0,写着25一份的肉结果上来就三片肉，一点也不值，一次不会再去了，毛肚也咬不动，抢了好几份，都退了
区域,北京,餐饮类型,北京菜,店铺id,350451,店铺名称,京味斋·北京牡丹烤鸭（奥体店）,经度,116.410578,纬度,39.983431
用户,星级,评论
a婷小朋友,5.0,点的菜都没有踩雷，招牌推荐的都很赞。
yyhhbjqh,3.0,经常来吃，离家近！量小味道还可以！
杨aihong,4.0,有点贵
