区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
Yas703211906,5.0,2016-06-05 13:02:58,很好的服务，价格也不会，下次还会再来的，谢谢！
屋里嗷嗷嗷,4.0,2016-05-24 04:41:12,服务很好、菜品也不错。骨头锅是特色点赞。^_^点了份虾滑、其中有坏掉了、二话没说退了、就这速度可以了。
nEo122853834,4.0,2016-05-30 20:08:37,服务员好，菜没有缩减，火锅底还是那个味儿……强烈推荐大家去吃
匿名用户,4.0,2016-06-05 14:05:16,老顾客了，味道还是一样的好，一次再来
EJh531955125,3.0,2016-05-31 16:33:59,地板走进去粘鞋唯一好的是味道，希望下次去地板能打扫干净点
cpr312229525,5.0,2016-06-03 09:48:07,味道非常好，正宗四川口味啊，经常光顾
紫贝壳_1015,3.0,2016-05-31 16:33:59,性价比高，一般看电影前的选择。有机会还会再来。
marisahld,4.0,2016-02-25 19:40:21,晚上5点多去吃，三口团购，团购菜品还算新鲜，感觉量不够，又点了一些青菜和菌菇，蘸料自己调配，配料很多，碳酸饮料随意，挺好的。不厚人性化的就是米饭2元一碗，与调料小碗一样大，这个量怎么能称为一碗饭，还不免费续！总体孩子吃得高兴就好！
pxg519202801,4.0,2016-06-04 18:54:57,评价晚了～不错哦，可以试下～～
爱如指尖沙,1.0,2016-05-13 10:47:14,吃到一半，竟然有只虫菜盘里面，后面实在没什么胃口。有几个菜都放旁边没动。让退掉领班说不能退，真是无语。不会再去了。
活着a、,3.0,2016-05-31 16:34:00,环境不是很好，口味还可以吧，实惠
张念12,4.0,2016-05-31 16:33:59,味道挺好的，就是感觉没第一次吃的辣！！！！！
gbD466472424,4.0,2016-05-31 16:33:59,挺好吃的 在他们家吃了N次了。这是第一次美团购
虎虎王,3.0,2016-04-24 15:43:48,玩美团三年来从不去评价，浪费了不知道多少积分，自从知道积分可以抵现之后，我后悔莫及，如果美团能再给我一次机会， 把我的积分都补上，我也愿意把我的评价都补上，所以现在我复制这句话，走到哪评到哪，非常好用。。。
Zuw463224486,3.0,2016-05-28 19:55:03,还不错，我们吃的很撑！朋友也很喜欢
AuK381802553,4.0,2016-05-29 20:20:19,菜品很不错，一直都钟爱这家的火锅
匿名用户,3.0,2016-05-24 04:41:12,环境一般，口味挺不错的，分量不大，团购的两个人吃刚好！
车亮123,5.0,2016-05-27 19:15:34,食材新鲜，过底料十足，味道纯正，很好，就是环境一般
yy旦阿森,4.0,2016-05-23 12:56:39,吃不惯上海菜吃了好几天火锅，很好很好，又实惠
yy旦阿森,4.0,2016-05-23 12:56:52,吃不惯上海菜吃了好几天火锅，很好很好，又实惠
EXC223568923,4.0,2016-05-22 20:55:26,同事四人去吃饭，味道还行，团购相对比较优惠。
小刚145,5.0,2016-05-23 17:40:47,老客户了，隔段时间就会去的，味道一直很好
车亮123,5.0,2016-05-22 00:58:00,食材新鲜，过底料十足，味道纯正，很好，来了绝不后悔
樊馨蔚,4.0,2016-05-17 11:56:26,感觉不错，下次还会继续光顾，感觉不错，下次还会继续光顾，感觉不错，下次还会继续光顾，感觉不错，下次还会继续光顾，感觉不错，下次还会继续光顾，感觉不错，下次还会继续光顾，感觉不错，下次还会继续光顾，感觉不错，下次还会继续光顾！！！
小蜜蜂球球,4.0,2016-05-10 19:44:43,味道很不错。还用了团购券，所以特别合算，嗯团了一个108的团购券是4个人的套餐然后刚开始觉得会很少不够吃，实际上再点点就够了，哈哈哈哈哈！
匿名用户,2.0,2016-05-21 14:53:29,没有什么实际优惠，饮料在店内是免费的，建议付现更实惠
刹那芳华哥哥,4.0,2016-05-22 22:37:26,很不错的火锅店，环境很不错，味道也挺好
旺旺美一次,2.0,2016-05-06 13:30:19,只能说是一般般不是很满意，二人都吃不好
z412087699,2.0,2016-05-22 22:42:27,调料味道还是比较好。汤底味道也还行。
匿名用户,5.0,2016-05-22 00:55:21,食材新鲜，过底料十足，味道纯正，很好
薇薇薇小,3.0,2016-04-21 23:49:16,套餐还可以 就是四个人吃肯定不够
yOz848278115,3.0,2016-05-22 21:48:32,喜欢的火锅，联着吃了两个星期了！
SKr837438024,5.0,2016-05-24 04:41:12,去过几次了，物美价廉！！！！！
莫名哀伤、,3.0,2016-05-17 00:02:19,服务 菜品味道一般般吧。没有还想再来的欲望
TTTyoo,4.0,2016-05-14 12:57:31,我们的生活中的一个人的确很好很好很好很好很好很
吴仁问笑,5.0,2016-05-15 08:30:40,味道很好，价格也实惠，大家可以去试试，真心不错
TUNG9,3.0,2016-05-17 11:27:47,好好好好好好好 都还可以的 总体来说
BBg273936897,4.0,2016-04-30 11:01:44,还可以吧。就是量不多、两个人吃差不多、那个自主调料真的好、服务一般啦，环境有些旧！
gUO304612119,3.0,2016-03-20 12:38:49,味道还行，中午来吃的人比较少，上菜速度很快，服务不错
呀ii啊秦,4.0,2016-04-29 00:44:59,一直在他家吃，算的上老顾客了，味。道很好，尤其是腰片和鸭肠，总体还是不错的，忘了拍照了下次去再晒
水仙312,3.0,2016-05-27 19:15:54,还好吧为什么一定十五字？！？！？！
水仙312,3.0,2016-05-13 13:02:10,还好，为什么一定十五字。？！？？！！？
匿名用户,3.0,2016-05-10 19:44:43,量很少，味道一般，价格不是特别划算
CQHGP_LOVE,5.0,2016-04-28 09:48:41,味道不错哦，团购的。价格也还可以，只是4人份的菜有点少了，加了几个菜。
慕槿123456,3.0,2016-05-05 14:33:24,火锅底料挺好的，但菜的分量很少
杨培荣,2.0,2016-05-10 19:44:43,没想像中的好吃，环境嘈杂，卫生不好，肉不新鲜
veJ165364398,3.0,2016-05-07 17:49:22,好吃！已经去吃过好几次了！依然美味
eln142238834,5.0,2016-04-29 14:29:25,其实作为上海的重庆火锅店，还是很有味道的！重庆老乡可以去试试
匿名用户,1.0,2016-05-31 16:34:05,口味就那样、服务态度不怎样，感觉有一丝丝不耐烦，不喜欢
暖杨_,4.0,2016-05-01 22:26:43,喜欢 感觉味道还不错 就是环境有待提高
请叫我小帅哥0,2.0,2016-04-14 22:36:14,服务员很少，大厅基本上都坐满了，但是服务员还能注意到客人的一个小小的动作，这一点非常好。以后继续保持。
A33168,3.0,2016-05-03 19:11:47,没什么很特别，只能说很优惠，一百送三十卷
贾斯汀的妈妈,1.0,2016-03-15 23:06:22,服务态度极其差，尤其是那个胖女人！还没开始就说碗打碎要赔5块钱。简直缺根筋！回家后全家拉肚子，吐了10来次，花钱找罪受，环境也很差，满屋子老鼠肆意横穿，想想走进这店简直就是倒霉透顶！差差差，差差差！
我要肉丝儿,5.0,2016-04-28 13:15:18,牛，牛，牛，牛，好吃的不要不要的
Shirley991226,3.0,2016-05-01 21:41:56,幸好来得早，不用等位，哈哈哈？
GDW482948091,4.0,2016-04-19 09:45:45,菜量味道都还可以，但团购的菜太少，三个人还另外点了一百块的菜
DRs981470194,5.0,2016-04-30 20:05:11,非常实惠，非常美味，下次还要来
JLF108804482,4.0,2016-04-28 00:00:00,不错不错非常不错下次还带朋友来
晓文君,5.0,2016-04-26 21:58:44,吃得饱饱的、就是通风不好。味道很棒
王艺陶wyt,3.0,2016-04-16 10:32:09,这家店的火锅我吃了六七年了，味道挺正宗，就是服务态度有所改变了，没有以前热情
amy4114,4.0,2016-04-29 01:40:36,很满意，很满意，很满意、很满意
雨季025,4.0,2016-04-26 09:01:38,味道还是可以。，重庆味道，分量少。
yfg477845351,5.0,2016-04-16 13:54:55,味道不错，特意很远的地方赶过去吃。用团购很实惠。吃火锅必去他家
匿名用户,2.0,2016-04-27 19:33:36,四人餐好少，，……………………
YFF576507020,4.0,2016-04-23 22:05:01,还可以。饮料不要喝是勾兑的。其他的都还好
Wro427103425,5.0,2016-04-23 10:18:40,味道环境服务都还可以的下次还会光顾的
Qy644245,3.0,2016-03-23 16:25:28,很合算，味道非常好，下次还会在来的
GRx361675870,4.0,2016-03-30 21:31:13,晚上5点多去吃，三人团购，团购菜品还算新鲜，感觉量不够，又点了一些青菜和菌菇，蘸料自己调配，配料很多，碳酸饮料随意，挺好的。
yka206375007,5.0,2016-02-18 07:33:30,去过很多次了，都很满意，就是这家店在美团，小小的积分可以为你赢来大大的福利，因为积分：1）可以在商城兑换各种超值好礼；2）能让你小试手气，赢得大奖；3）能够用来秒杀各种商城定期派发的抵用券；4）在消费时还能抵现金。小美温馨提示：在美团，抽奖和商品兑换是最划算的积分消费方式。商城将不定期更新时下最火爆的商品，多攒积分，多关注商城的活动，意想不到的诱人大礼等
qIs311631171,4.0,2016-03-26 12:59:07,口味很好，我很喜欢，很香，但是唯一不好的就是单点的鹅肠太让人失望，不是那种涮后有点筋道的口感，而是那种很面的感觉，很奇怪，让我这个超爱吃鹅肠的人很失望！一盘全部剩下
TBm425534268,3.0,2016-04-19 08:30:00,可以去吃感觉很不错 带朋友过来的很开心
匿名用户,3.0,2016-04-21 15:52:06,我一个人吃了一百多，是我太能吃还是贵
猫奴大人,5.0,2016-04-20 19:14:56,已经吃了无数次了。好吃哈哈啊哈黑茶
rNu643912134,3.0,2016-04-22 07:57:06,吃很多次了          很好的
毛毛890201,5.0,2016-04-15 10:03:25,强烈推荐 很好吃 团购好划算的……
JLq178328841,5.0,2016-04-14 10:30:52,很好，便宜又划算就是没有以前多了
匿名用户,4.0,2016-04-15 08:11:50,味道不错，人流量爆满，就是份量有些少
猫奴大人,5.0,2016-04-04 19:40:15,去的时候说节假日不能用，后来沟通以后还是用了，挺好的。味道是一如既往的好。如果有水果就最好了。
馆儿雨亭,4.0,2016-05-06 13:27:12,东西量挺多的，很多朋友一起，就是有点辣，吃辣的朋友可以去试试
Wzf25503787,2.0,2016-05-31 16:34:05,在上海来说，川味火锅中还算可以
可乐加脉动,5.0,2016-04-16 21:53:20,第二次来吃 味道很好 很不错 不腻
袁先红,2.0,2016-04-15 21:40:27,地方太小地方小小小小小小小地方太小地方小小小小小小小
SwR153102260,5.0,2016-04-11 07:32:26,"味道很好，特别好吃,酸菜炒饭特别好吃"
我就是大圣,4.0,2016-03-20 18:56:29,好久没来了，好好吃啊！还是那个味，就是吃完衣服味道有点大！好吃好吃好吃！
匿名用户,2.0,2016-05-31 16:34:39,还可以吧，吃不了的没有动的菜居然不能退，而且菜也贵
猫奴大人,5.0,2016-04-04 15:33:55,还不错，在上海找到和重庆味道差不多的，只是不是很辣，再辣点就好了
qXx787637396,3.0,2016-04-03 19:43:31,够3、4个人用餐了，味道还是不错的，唯一觉得不好的事，店内很潮湿
啦啦哈哈zhang,1.0,2016-02-08 14:57:53,真心不太喜欢  店里服务人也不是很好 吃的火锅中 这是我吃过最难吃的一家   临时随便找的一家店 果然不好 我点的牛肉跟剩了很多天一样  难吃  买单时用美团买的  两个人消费194店内收银让我付款200 美团可以减30  我多付的6元  没有给我任何东西 我朋友还说椰奶是6元 他们就说哪有六元的东西  把我们当傻子吗？再也不会去他家吃饭了！前两天吃的  忘记点评了  总之就是 菜品差劲  东西还贵   服务一般般
Joye巧,3.0,2016-04-08 23:03:37,感觉还可以吧 就是越吃到后面味道越咸
天才文君2.0,4.0,2016-04-11 11:29:45,经常去吃，觉得不催呢！还可以！
qTc445894469,3.0,2016-04-08 19:56:40,环境一般，味道还可以。算是常客了。
menggboo,3.0,2016-04-08 19:56:40,第一次去，感觉人满多的，上菜很快味道也不错！
yfg477845351,2.0,2016-03-29 17:44:57,一直团购去的，最近两次去感觉菜量比以前少了，加上小朋友一共3个人加了好几个菜
洲洲92,4.0,2016-04-04 21:16:59,还可以吧，毕竟这么便宜不好挑什么了
ai小嘟嘟呀,2.0,2016-01-24 18:55:47,味道可以，态度永远一般。人多位子太小，以前忘记评论，现在都会写出自己的真实感受。以前忘记评论，味道可以，态度永远一般。人多位子太小，以前忘记评论，现在都会写出自己的真实感受。以前忘记评论，味道可以，态度永远一般。人多位子太小，以前忘记评论，现在都会写出自己的真实感受。以前忘记评论，
feel随遇而安,2.0,2016-02-16 14:49:32,菜还可以，网上团购的4人票，很划算，装修时间久了点，有点老，服务生都是刚下学的小孩子，不懂事。员工要求不严格。不用排队，中午去的，第一桌，自己强烈要求坐靠窗的位子，饮料不是酸梅汁，是自助的碳酸饮料，可乐，雪碧，美年达，
Nyt732847926,1.0,2016-03-16 12:32:44,去吃过几次，前几次还可以，就是环境潮湿点，最后一次去，是在楼下，居然看见了一只好大的老鼠，我的妈呀，在餐厅看见这个，我真的不敢再去了
qXx787637396,3.0,2016-04-08 19:56:40,够3、4个人用餐了，店内有些潮湿
老魏嘿嘿,5.0,2016-04-03 22:15:44,不知道第几次来了。总之很好啊。哈哈哈哈
ZeL410781587,3.0,2016-04-08 19:56:41,可以，可以，吃了N次了，下次还来
iwt716226466,2.0,2016-05-31 16:34:39,口味一般般、价格也不是很便宜、服务还是可以的。
我爱吃美食2017,2.0,2016-03-16 22:45:22,扫扫二维码，哈哈哈，扫扫二维码，哈哈哈
waitwang88,1.0,2016-03-29 07:03:23,很不满意，服务态度很差，菜不洗干净
lDq165535897,5.0,2016-03-27 10:29:02,味道很不错，吃了好几次了，每次朋友来都想到去他们家吃
gongyongjia,3.0,2016-03-29 21:27:17,不大好吧，不正规，还行，我就是喜欢吃火锅。
irx792990627,5.0,2016-03-28 22:47:48,还行吧，没有自助的划算，建议团购
夢如人生,2.0,2016-03-29 19:09:10,贵，不划算，不会再来。不如泰妹划算，不建议。
嗯…嗯…嗯…嗯,5.0,2016-03-26 11:29:50,非常好！口味多！服务周到，跟朋友意思！
老魏嘿嘿,5.0,2016-03-29 21:28:01,不错。好吃便宜。。好好。。。。
eam941085921,3.0,2016-03-29 21:13:40,还好还好会好好好好好好好好好好
流年晓庄,2.0,2016-03-25 14:22:07,菜太少，而且很贵，还不如呷哺呷哺
老魏嘿嘿,5.0,2016-03-26 20:46:03,好吃。还便宜。强烈推荐。。哈哈哈
Ibp188046369,4.0,2016-03-29 21:28:01,口会很好，适合我们的口味下次还会继续哟！
Shirley991226,4.0,2016-03-26 22:01:08,来晚了，不过还好没排多久，嘻嘻，还是那个味！
匿名用户,5.0,2016-01-24 18:05:21,味道确实不错，作为四川人的我都感觉到狠辣很麻，服务也很到位，还有免费的冰淇淋和爆米花，就是价位也还是有点贵#酸菜鱼##美味牛肉羊肉##冻豆腐##鲜毛肚#
eam941085921,3.0,2016-03-05 19:25:28,味道一如既往的好，今天周末人有点多，我是常客
老魏嘿嘿,5.0,2016-03-26 20:45:38,第三次团购了，好吃还便宜。哈哈哈
九天揽月呀啊,5.0,2016-03-16 11:38:56,好吃味道很辣，嘛，很不错的着火点推荐朋友们一起去吃。
anny12069,3.0,2016-03-19 12:39:36,口味还不错，就是四人的量最多俩人吃的饱，还行
清茗花语,3.0,2016-03-29 21:28:31,还行吧……这么多天津大学生们一起加油哦……在
sFK863162377,3.0,2016-03-12 21:21:43,菜可以，味道也行，辣味稍稍偏咸了点。就是说有酸梅汁去了却没有，只有自助饮料。总的来说还可以。
yfsheng1999,5.0,2016-03-29 21:28:31,第n次了  但是想吃火锅首先想到临江门
irM842590195,4.0,2016-03-23 00:44:24,不错，不错，常在七宝的朋友们可以去尝尝
匿名用户,3.0,2016-02-29 19:32:10,火锅不错，但是迎接员服务不太周到，明明里面有位置非推荐了我们不愿意坐的位置，自己要换位置还不准坐，态度不好。后面喊她点菜，还摆脸色
irM842590195,4.0,2016-03-29 21:28:02,朋友推荐的，口味还算比较正宗，吃的比较撑
Zw19930217,4.0,2016-03-29 21:28:31,蛮好吃的，很辣很爽，锅底丰富。不错不错
m天青色,2.0,2016-03-20 09:53:42,四川同事很喜欢吃，所以我也稀里糊涂觉的好
匿名用户,3.0,2016-03-29 21:28:31,还好吧，就是有点小贵，味道蛮不错的。
匿名用户,2.0,2016-03-13 22:00:08,两个人的大骨锅底分量太多了，大骨太腻了，整体还是不错的，服务员态度很好
匿名用户,3.0,2016-02-19 17:38:15,说好的四人餐呢 也就正常俩人的份量～套餐里大多不是我喜欢的菜～不过 店的位置比较好 相对比附近其他家便宜一点 人多 店里位置太挤 走路还得低头小心碰头～～
匿名用户,3.0,2016-03-19 12:51:32,说是四个人份，实际两个人吃也就差不多
sqz267381766,3.0,2016-03-20 16:53:49,还可以，价格实惠，就是环境一般
贝西705,4.0,2016-03-01 10:49:28,团下时心里还觉得一个价钱不知道怎么样，结果是感觉比想象中令人满意，希望店家多搞活动，下次会再团
贝西705,4.0,2016-03-01 10:45:03,团下时心里还觉得一个价钱不知道怎么样，结果是感觉比想象中令人满意，希望店家多搞活动，下次会再团
贝西705,4.0,2016-03-01 10:33:37,团下时心里还觉得一个价钱不知道怎么样，结果是感觉比想象中令人满意，希望店家多搞活动，下次会再团
匿名用户,4.0,2016-03-01 10:45:32,团下时心里还觉得一个价钱不知道怎么样，结果是感觉比想象中令人满意，希望店家多搞活动，下次会再团
m天青色,2.0,2016-03-20 09:51:33,两个男的不够，三个人消费300正常
浦江镇梅西,3.0,2016-03-17 14:38:51,464（韩国纷纷返回减肥广告个风格和广告费
irx792990627,5.0,2016-03-18 20:32:43,还可以，团购的，吃的很饱，人均还可以
vMx728957613,5.0,2016-03-14 22:14:26,大爱他家的酸菜鱼锅底，鱼肉很嫩，最重要的一点，价格特别亲民
好景不长阿,5.0,2016-03-21 20:38:34,超级好吃，推挤大家一起来，哈哈
m天青色,2.0,2016-03-29 21:28:31,两男一女不够，起码200多才行
心有千千结1972,5.0,2016-03-12 14:07:17,这家店开了十几年了，一如既往地好！一直推荐给朋友去的，值得去！
张南南210,4.0,2016-03-29 21:28:41,还不错 ，实惠  就是环境不是很好
_qqk361359952810,5.0,2016-03-15 09:32:05,家乡的味道，价廉物美，麻麻啦啦挺好吃
vTr181572671,2.0,2016-03-11 18:18:58,什么都挺好的，就是免费饮料好像是兑水的。不管是不是兑水，我只希望不是自来水
amy4114,5.0,2016-03-11 21:50:37,周末人多，三个人额外再加 两份肉两份蔬，五瓶酒
fYh283775933,4.0,2016-03-11 16:54:03,很不错，味道很重，值得推荐，挺好的。
YY17851273,5.0,2016-03-12 21:06:23,味道很赞，还是很地道的。吃的饱饱的
私人教练a华,5.0,2016-03-29 21:29:04,还好吧！人特多每次都是这样的，来了后等位置。味道不错值得推荐
gIv573240141,1.0,2016-03-14 22:14:25,吃完拉了一天肚子，不能吃辣的千万别去
yBc403995805,1.0,2016-03-14 22:14:25,菜量少了些，味道一般没什么特色
xJP231369000,4.0,2016-03-08 14:13:22,菜的味道还是不错的，就是环境一般
iIv630454130,2.0,2015-12-29 09:06:17,火锅不错，但是迎接员服务不太周到，明明里面有位置非推荐了我们不愿意坐的位置，自己要换位置还不准坐，态度不好。后面喊她点菜，还摆脸色，来例假也不能甩脸色啊
熙20121014,1.0,2016-05-31 16:35:14,菜的卫生不敢恭维，反正不会再去了。服务也很差，一看团购去的就不热情
随之而去,5.0,2016-03-04 18:36:13,常去了，辣的过瘾，今天看见韭菜花了。
匿名用户,5.0,2016-01-26 20:45:03,辣的锅真的辣的地道啊，团购多划算呀，便宜好吃。羊肉很新鲜而且是正宗羊肉。菜品两个人吃的，稍微有点少。
lboran,3.0,2016-03-03 16:21:08,不错的重庆火锅，每次想吃就去这家店吃
Qweabc147,3.0,2016-03-29 21:28:41,还可以，服务也好，菜也可以，0k
Rui123850,3.0,2016-02-25 00:19:38,带女儿去的两个人吃差不多，三个人就要加菜了。味道很好，就是太辣了。
sDQ265454625,1.0,2016-02-25 19:14:53,团购上面写有酸梅汁，到店里让我们喝免费的饮料，还美其云曰到店是免费 团购要钱
520ma1314,4.0,2016-01-26 22:32:14,虽然是个吃货，但今天的评论绝对是客观的，不管是口味，还是服务，环境，绝对是值得再去的
UAt607047284,4.0,2016-02-29 17:28:07,口感很好，朋友也都挺喜欢吃的，以后会经常去光顾的
匿名用户,5.0,2016-03-05 20:39:43,好吃，下次还要去，就是太远了。
JbK962153686,5.0,2016-03-01 14:16:19,喜欢火锅的朋友可以过来试试。味道不错
密密真,3.0,2016-02-29 10:33:14,口味还不错，早点去不用排队，服务一般，员工太忙，
THO248721347,3.0,2016-02-11 18:12:25,味道很重庆，偏麻，还是很好吃的，团购和优惠付款不能同时使用，环境比较嘈杂，人还是挺多的，但不用等位，这点很满意。
我是吃货大侠,2.0,2015-11-14 23:49:06,菜品:牛羊肉上了一会冰就化了只有一点点。蔬菜拼盘只有绿色叶子的菜，里面没有木耳藕片土豆香菇，而且量很少。酥肉不是现做的，早上炸的晚上还在卖。荤菜量少。饮料自助的，机器自己打。服务态度:一般，真的不热情。环境:一般。人均消费:100元左右。
匿名用户,5.0,2016-01-30 17:04:42,原来从来不去评价，不知道浪费多少积分，自从美团积分可以抵现金的时候，才知道积分的重要。后来我就把这段话复制了，走到哪，复制到哪，即能赚积分，还非常省事；特别是不...
lxjle,4.0,2016-02-24 14:45:46,味道还可以，三个人又加了几个菜。
匿名用户,5.0,2016-02-26 18:14:32,三个人去的，口味不错，下次还会再来
匿名用户,2.0,2016-02-26 19:42:54,味道一般，上菜挺快的，虾滑跟年糕勿点
PMJ592180400,4.0,2016-02-25 03:30:57,好吃好吃好吃好吃好吃好吃好吃好吃
xuans361,3.0,2016-02-22 08:37:28,服务周到，菜品口味还满意，经常来这家吃
冂一＼,3.0,2016-02-24 19:32:14,可味还可以2个人点了7个菜吃得好饱
ZeL410781587,4.0,2016-02-15 13:57:51,吃了很多次，上次没团购带小孩去吃，收了个小孩的调料费，其实小孩没要调料的，和老板说了，老板就退了5块。
雾凇使者,5.0,2016-02-03 11:06:28,多次来吃了，正宗，量足，服务到位。#美味牛肉羊肉# #临江嫩牛肉# #羊肉# #毛肚# 够辣，微辣也很辣，建议不能吃辣的朋友点鸳鸯锅。
Rui123850,4.0,2016-02-25 00:20:37,很好吃，多次购买。服务也很好。
ybK337814716,3.0,2016-02-21 12:12:13,两个人吃的，点了不多，口味和调料比较齐全的
iaQ761577895,4.0,2016-01-17 15:24:06,看起来可以，，挺正宗的。。。。。。。。。。
CpR331564791,5.0,2016-02-22 20:56:25,挺好的，蛮好吃的，挺棒的！果断好评！
匿名用户,1.0,2016-01-10 20:41:35,不是一般的少啊！3--4人餐根本不够吃 一个人都能吃完 畅饮的饮料也不好，总的来说这次团购的一点都不嗨深 。
情有独钟YT,3.0,2016-02-19 11:33:05,点的重辣，已经感觉太辣了，他们家太辣了。供团购的朋友们参考哦！
zWr832108052,3.0,2016-02-15 23:31:08,味道很好的，就是佐料区在楼下，得下楼了才可以，有点难跑
匿名用户,5.0,2016-01-23 17:41:27,非常好吃，来吃很多次了！赞啊！
匿名用户,3.0,2016-02-20 17:24:52,觉得还不错，四川口味我是比较喜欢
王小青Ly,5.0,2016-02-21 11:12:30,味道还是很棒的 服务态度也很好
思心疯丶,4.0,2016-02-19 11:46:40,还不错，这个价位吃饭这样的东西，可以了
匿名用户,4.0,2016-02-14 18:18:26,服务态度也好，味道不错吃了好几次了大份的每次都吃光哈哈
yannaihua,5.0,2016-02-11 11:00:24,不错，很实惠味道超不错，比大东营的强多了
jmjpmjt,4.0,2016-02-14 13:05:37,价格便宜，人特别多，还有好多外国人在吃
忘怀8866,4.0,2016-02-14 22:21:14,还可以吧，毕竟是团购，鸳鸯火锅真的是太辣啦
天才文君2.0,4.0,2016-02-15 09:45:06,还不错呢，一直在这家店吃火锅。
iPW325436765,5.0,2016-02-15 10:54:54,吃过很多次了，真的很不错，味道超赞
wrx1632,3.0,2016-02-13 01:29:35,不錯很好吃，麻辣火鍋最棒，值得
匿名用户,5.0,2016-01-01 13:26:45,以前从来不去评价，不知道浪费多少积分，自从美团积分可以抵现金的时候，才知道积分的重要。后来我就把这段话复制了，走到哪，复制到哪，即能赚积分，还非常省事，特别是不用认真的评论了，又健康快乐能么么！哈哈
晨筱睿,4.0,2016-02-05 23:27:51,在家附近偶尔去感受一下，辣！人气很火，团购划断。
天才文君2.0,4.0,2016-02-07 10:15:48,比单卖划算，只要买个套餐，2个人吃吃正好！
amy4114,3.0,2016-02-06 21:04:22,两个人吃的刚刚好，有时间还会去的。
匿名用户,4.0,2016-01-03 22:19:45,位置还挺好找的，锅底给个赞，很有味，挺好吃的，饮料是无限畅饮的，这个不错。三个人去吃的，团购了套餐，又点了些菜，吃的好饱，酱料自助5元l一个人，团购里面有，还挺好的。总体来说，挺好的，好吃最重要！
匿名用户,3.0,2015-12-31 18:18:54,以前从来不去评价，不知道浪费多少积分，自从美团积分可以抵现金的时候，才知道积分的重要。后来我就把这段话复制了，走到哪，复制到哪，即能赚积分，还非常省事；特别是不用认真的评论了，又健康快乐能么么哒。。。
xuans361,3.0,2016-02-01 09:17:09,还行还行，经常在他家吃，口味和环境都蛮好的
简单的快乐飞,3.0,2016-01-31 16:37:10,还可以吧，吃了几次，环境一般，就是不是特别卫生的样子……
一个执着的筱男人,3.0,2016-02-04 13:23:55,口味还是可以的，只是太辣了，料汁都还不不错
JjT241853341,4.0,2016-02-04 12:15:41,人很多，味道很不错，常客了已经。
wades3,2.0,2016-02-02 09:47:02,质量还好 数量较少 根本不是4个人的量
fhf166716028,4.0,2016-02-03 17:35:23,同事小聚的时候团的，满实惠的。
mingyue要努力啦,2.0,2016-05-31 16:36:14,网上团购的，两个人吃感觉很撑，味道也就那样吧，感觉不是正宗的重庆火锅
JLq178328841,5.0,2016-02-03 13:08:20,挺好的，去了几次了，不错的yayaya
卡布奇诺一挥,5.0,2016-01-31 17:10:12,很好吃很好吃很好吃，味道棒棒的，每次都吃鸳鸯锅
sdg090401,4.0,2016-01-29 16:46:54,还不错，几个朋友聚聚，蛮好，再单独点些菜，四个人吃不饱。
香香顺其自然,5.0,2016-01-28 13:38:06,环境好，菜品都很新鲜，口味很麻辣，消费上100还有30元抵用卷。
hef684223619,5.0,2016-01-31 02:15:43,来了好几次了，味道不错啊，很好
D133334,3.0,2016-01-24 01:31:55,口味还可以，就是二楼服务员的服务态度很差～
dkomvg,4.0,2016-01-29 17:05:23,还可以把，毕竟团购的，还不错，
烟火021,2.0,2016-05-31 16:37:46,味道还不错，就餐环境有点差，原来团购时承诺的饮料，也被置换成机器制的饮料畅饮了。
腾飞941,2.0,2016-05-31 16:36:14,服务还行，服务员少，饮料是免费的也列入订单不合理，
匿名用户,2.0,2016-05-31 16:36:14,肉的味道怪怪的……服务也一般。
大头就知道吃,5.0,2016-01-30 17:32:32,很好，份量也很足！已经来吃很多次了
ApW847346952,5.0,2016-01-28 14:40:10,挺好吃的，很辣。不错。哈哈哈哈。
qVv455577115,3.0,2016-01-28 08:38:13,蛮好的，就是要去的早，要不会排队，生意太好了
匿名用户,4.0,2016-01-20 18:25:59,一直很喜欢吃他家的火锅，锅底的味道很赞，套餐里面的东西都是必点的
Ibp188046369,5.0,2016-01-21 09:40:47,服务态度和环境都很好，我们在那吃了10年了，每个星期要去一次到两次
vTr181572671,2.0,2016-05-31 16:36:14,里面好吵，服务员都不带口罩的，卫生另人堪忧。
权志龙GDbabybaby,5.0,2016-01-23 23:05:53,味道还不错！就是环境太潮湿了！！
oia173490102,5.0,2016-01-24 20:38:48,味道不错。 经常吃 在辣一点就好了
hNT304898514,3.0,2016-01-23 16:16:17,菜色还可以，味道挺辣的，口味重的可以去尝尝……
匿名用户,4.0,2016-01-24 11:10:25,味道不错 个人比较喜欢 就是量不是好多…
qta456207175,1.0,2016-05-31 16:36:14,服务态度太差，服务员一直催   烦死了～菜也不多～
