区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
PdG480382664,4.0,2018-10-27 18:14:59,味道好，很正宗，服务到位，值得推荐 #魔芋片#
卡布丶Z,3.0,2018-10-05 18:09:00,味道不错。。。。。。。。。。。 #临江嫩牛肉#
tWd464955928,5.0,2018-10-03 22:31:55,还是这家火锅好吃，想吃还会来
xJX797526350,4.0,2018-07-18 23:31:10,味道不错👍服务一般环境还行下次还会来
匿名用户,3.0,2018-08-25 12:31:25,菜品数量少，味道还行，进门去了半天都没人招呼了找桌子，总体感觉一般吧
Danni7895,4.0,2018-08-19 08:38:52,朋友请客：环境不错
FdE146627137,4.0,2018-08-14 17:12:59,吃了很多年的店，，强烈推荐
VfO419680744,4.0,2018-07-28 16:37:49, #大骨锅底#
QrC266679271,3.0,2018-07-08 10:50:30,作为重庆人来说，味道很一般，价格偏贵，两个人也没点几个菜，花了200多。
裴佩kelly,3.0,2018-07-15 11:15:11,吃了很久了 忘记了 应该还是不错的
ABu493348486,2.0,2018-07-11 10:08:14,没有以前好了，越做越差，老板也越抠门
YWR379111500,4.0,2018-07-16 19:32:01,去过两次，还不错
煎包123,4.0,2018-06-21 14:10:00,分量足，锅底也很有料，营业时间也很晚，加班后还可以去吃，不错
煎包123,4.0,2018-06-21 14:08:50,菜量很足，就是有点小贵，基本还不错
cmh梅花,3.0,2018-06-25 13:06:39,还行啊。😂😃😂😄😂😃
匿名用户,2.0,2018-04-15 10:57:48,味道一般 量少 别要十五个字了好么 很烦哦
匿名用户,3.0,2018-04-13 09:33:40,鸳鸯锅汤底是真的好吃  推荐肥牛   鸭血
rax937091665,3.0,2018-03-18 13:46:22,火锅味道不错，不错不错不错不错不错为了凑齐15个字 真累
AQr891693648,4.0,2018-03-22 12:49:46,还可以，很久没吃上火锅。很不错
如果我是你i,1.0,2018-02-16 21:37:01,服务态度差   不做回头客   好自为之  😂
匿名用户,2.0,2018-01-25 08:48:19,口味可以，价格偏高，与服务不成正比，只能说一般 #宽粉# #特级肥牛#
leebbjl,2.0,2018-01-25 16:11:09,没之前的划算，味道也不一样了，以后都不会再去了
匿名用户,2.0,2018-01-20 11:48:55,不咋地  不想评价。。。。。。。。。
银鱼炖鸡蛋,4.0,2018-01-15 19:13:29,好吃，实惠！
