poi_id,177620769
夏雨天着火天,5.0,服务态度真的很好，味道也不错。值得推荐
螃蟹兔,5.0,牛肉丸火锅去了好多次，每次都很好吃，吊龙我最爱，肉很新鲜，环境不错，好多免费的汤及小菜，带着两个娃去的，提供两份免费的宝宝套餐，大宝还拉臭臭了，服务人员唐桂华很热心的帮助，还帮忙洗了裤子并烘干，超级nice，超级满意的一顿饭！
匿名用户,5.0,带孩子过去的，服务态度很好，有免费的凉菜区，送了水果树，还给孩子送了小礼物🎁。里面安排的挺全面的，有儿童游乐区，有儿童椅，儿童床，吃饭的时间工作人员还能帮着看会孩子。负责各个工作的人员都挺热情的，要说缺点吧，应该是儿童游乐区的玩具大部分都是坏的，估计小朋友比较多，玩坏了吧，应该按需更换新玩具，因为坏的玩具比较容易弄伤小朋友，那样就不好了。有时间还会再去的。👍
Yox85197729,3.0,整体性价比还不错，环境和服务也挺好
SKt356467248,4.0,服务比较好
匿名用户,4.0,网上购买的双人套餐，味道很不错，牛肉新鲜非常嫩，服务员帮忙涮的，服务非常到位，很满意的一次晚餐。
匿名用户,5.0,环境优雅，服务贴心到位，汤底健康，菜品很好，很好吃！！
Gyr295599346,4.0,吊龙很嫩 嫩肉还好，料很足 总之很满意 服务到位 推荐
m664672030,3.0,还可以，不贵，挺方便的，牛肉有点老
cHd902511622,5.0,经常来吃，味道不错，服务还好，调料要是多来点麻辣味就好了，调料的麻辣味几乎没有。
CCB479205450,5.0,胡垚服务周到，人美，可爱，强烈推荐这家店
英伦玫瑰张,4.0,服务员态度好，食材新鲜 火锅小料小菜自助方便 很不错👍
zYL882918574,5.0,菜品很正，服务好。
Ecu467998116,3.0,环境不错，尽管服务生都是阿姨，服务也挺好，
rFb854633144,5.0,人品好 服务好
Ujw225033372,4.0,买的套餐，感觉味道还不错吧
匿名用户,1.0,Bgm一直单曲循环《绿色》，请问是想有多绿？？？建议不要单曲循环一首歌听着很烦òᆺó太热了，抽气的不开了锅的热气一直散不掉，吃顿饭跟蒸桑拿一样流了一背的汗。服务员响应速度慢，要加汤锅都要烧干了叫了三回才来。牛鞭汤也不给送了，薏米水也不给送了。套餐里说酸梅汤或者柠檬水任意，但是如果点酸梅汤不会把壶放你这边，而是你得不停叫服务员给你拿来倒很麻烦，要不是因为我朋友吃柠檬做的东西会流鼻血我也不稀罕要你的酸梅汤好吗，热成这样还想让顾客三番五次扯着嗓子找你们要倒喝的，你作为一个餐饮行业的老板给服务员提出这种规矩真是太好意思了，服务员也是没办法你也别想着找出是哪个服务员告诉我们这些隐情的，有想问的请回复你们管理人员的联系方式直接与我沟通。老顾客了来了很多回了，这是体验最差的一次，不知道是不是因为服务员变少了。
sMq747522799,1.0,这家店小票不能重打，无法开发票，服务特别差劲
OFh847276801,5.0,服务好，环境好，吊龙，炸腐皮的味道超级赞，免费的小菜也很好吃，还有免费的男士女士不同饮品。
月下俏阿狸°,5.0,牛肉丸特别Q弹，牛舌也超好吃，是我吃过的牛肉火锅里最好吃的一家了，也不枉费专门打车过来吃，是有灵魂的丸子~~以后还会经常光顾！ #牛舌# #手打鲜牛肉丸# #水果#
匿名用户,5.0,非常满意感觉不错。
匿名用户,5.0,服务真的堪比海底捞了，闺女很喜欢吃，味道很不错，推荐，刘娟美女服务热情，周到，以后还会来
匿名用户,5.0,味道不错，下次再来。
uQq358031926,4.0,服务员唐服务很周到热情。
kVu393011708,3.0,这位阿姨服务特别好呢，环境好，为这家点赞
快来饭吧eee,5.0,很赞，服务员刘娟，服务周到，人超好，颜值高！
红月亮803,5.0, #嫩肉# #极品五花腱# #牛底清汤锅# #肥胼# #果盘# #紫薯薏米水#
lwf821848742,4.0,总体满意，小贵
匿名用户,4.0,口味好，环境不错，服务很好，不用等位
_qqxzt1437705383,5.0,服务态度超好～卫生间也干净
lCd866853975,3.0,菜品一般吧 服务还可以 总体还行 去过两次
ckgf,4.0,味道不错。服务周到。
honey悥,5.0,服务简直不要太周到，味道不错，有自助小食，还送了水果
敏感的小门牙,5.0,环境好也好吃特别棒！来了几次了
匿名用户,4.0,服务还是一如既往的好！
DWX987115414,5.0,小哥哥很帅
Jhi606330957,1.0,第一次遇到差一块钱不让用代金券，很迷醉，不是很懂
sunchunli312,5.0,味道非常不错，尤其是服务员的服务非常周到，第二次和家人来了，以后还会继续光顾。只可惜吃完才想起拍照。
goxukun,4.0,很不错，去过很多回了
匿名用户,5.0,好吃，最满意的是卫生间服务的阿姨，超级热情，遇见阿姨，心情都瞬间变好了 #牛舌# #牦牛肉# #极品五花腱#
白白love尹尹,5.0,快过年了人不多，菜上的很快，味道很好，服务也很好，不过看美团显示代金券是不限量的，但是在店里结账时只让用一张。不过也没关系了，还是很推荐的，服务员小姐姐会时刻关注你有什么需要，过来帮忙涮菜品，加汤底，还送了果盘，红豆汤。很赞。
rKe606395969,4.0,服务很好 #手打鲜牛肉丸# #广东潮汕春菜# #极品五花腱#
