区域,北京,餐饮类型,火锅,店铺id,298462,店铺名称,东来顺（世界公园店）,经度,116.290989,纬度,39.813989
用户,星级,评论
匿名用户,5.0,#传统火锅# #肥牛# #涮羊肉# #羊肉#
Bolin131421,5.0,干净整洁……好吃不贵………………
wzy05510,5.0,还可以，人还挺多的！哈哈哈哈哈哈哈哈哈哈
ywE681274655,5.0,挺好吃的，量也挺大的。挺满意的
xiecongqian,2.0,份比较小，饭量大的人要团两份，肉的质量还是不错的
如玉943525477,4.0,味道特别好还便宜  很不错  来北京了再来
aymeinv520,5.0,
SAa129871138,4.0,环境卫生好，服务好棒棒棒棒棒棒
liuqizhu95950,5.0,团购的非常合适，三个大人，两个小孩，吃的非常好。
匿名用户,5.0,
zhaopf3456,5.0,
kxtbxy,5.0,
eebone160,5.0,
韩霜荣,5.0,
jzqiutao,5.0,
jzqiutao,5.0,
jzqiutao,5.0,
thomas_su,5.0,
HTf510762904,5.0,
周美美眉,5.0,
fNA142414848,5.0,
Glh841272873,5.0,
KkU219534632,5.0,
KkU219534632,5.0,
Npn789594454,5.0,
蔠點167,5.0,
Vsi179384597,4.0,
DAR597799578,5.0,
Vsi179384597,5.0,
赵小斌1688,5.0,
Bdd24882867,5.0,
fNA142414848,5.0,
林林林林上琪,5.0,
HfI211135524,5.0,
jasonmwh,5.0,
不一樣的煙草,5.0,
Blitz0207,5.0,
含糖氧化钙,5.0,
十六位帝皇玩,5.0,
zhaozhixing123,5.0,
ZsL392736726,5.0,
amaroks,4.0,
ugd953573282,5.0,
NCX609776410,5.0,
xGq428871421,5.0,
xGq428871421,5.0,
ZpN753084179,5.0,
穿杨888,5.0,
谢非159,5.0,
鼞鬙,5.0,
XMK788839794,5.0,
路小葆,5.0,
KfR207953414,5.0,
A石灰A,5.0,
OCq869579693,5.0,
飞狐一刀1,4.0,
Bte824414648,5.0,
Vivian23218590,5.0,
Vivian23218590,5.0,
energyfz,5.0,
BdM252123531,5.0,
kfb270082519,5.0,
异人同居,5.0,
HRJ569532239,5.0,
闹心,5.0,
tnV463151545,5.0,
满地打滚的考拉,5.0,
Nte789358264,4.0,
egk344800369,5.0,
egk344800369,5.0,
zyl920825345,5.0,
NeH947620540,5.0,
QnO41734402,4.0,
匿名用户,5.0,
happy孤魂,5.0,
杨金锴,4.0,
匿名用户,5.0,
匿名用户,5.0,
萧0尧,4.0,
放二小de牛,5.0,
Oul464992497,5.0,
恋恋风韵8149,4.0,
MBe540063762,4.0,
匿名用户,4.0,
匿名用户,5.0,
匿名用户,4.0,
依繁0421,5.0,
匿名用户,5.0,
匿名用户,5.0,
匿名用户,5.0,
冬日暖阳哥,4.0,
hsy黄勇,4.0,
NUs604832748,4.0,
Qve887107700,5.0,
匿名用户,5.0,
MooniDeep,5.0,
YPS838805311,5.0,
cQb366632968,5.0,
KkU219534632,4.0,
张海建1987,4.0,
KkU219534632,4.0,
MfY965243380,4.0,
娱乐家盖盖,5.0,
匿名用户,5.0,
匿名用户,4.0,
fleetfly_2007,4.0,
QpP352382134,5.0,
NCX609776410,5.0,
qjO799886537,5.0,
匿名用户,5.0,
wy262176339,5.0,
喜欢仙女的小胖子,4.0,
csm650705239,5.0,
_qqz7m1404636590,5.0,
匿名用户,4.0,
匿名用户,5.0,
敖利飞,5.0,
skJ609970221,5.0,
gl88bb,5.0,
匿名用户,5.0,
cGJ402816457,5.0,
gzailn,5.0,
匿名用户,4.0,
Vicky丶思小宝,4.0,
pum584795560,4.0,
小午吃饭,4.0,
匿名用户,5.0,
匿名用户,5.0,
星晴1029,4.0,
ZCy589118111,5.0,
田七2020,4.0,
感情不过,5.0,
感情不过,4.0,
RiL129525359,5.0,
DCn90430514,4.0,
匿名用户,5.0,
beikeazz,5.0,
FoJ138707313,4.0,
FoJ138707313,4.0,
Lnn368501608,5.0,
卡伦人,5.0,
wujie920318,5.0,
我8181,5.0,
W如果爱，请深爱,4.0,
bluelonely1101,5.0,
匿名用户,4.0,
鼎吉福地,4.0,
feM85046702,5.0,
Ill762356525,5.0,
匿名用户,5.0,
匿名用户,5.0,
路人随影,4.0,
栾影,5.0,
me起什么名字好,5.0,
韩霜荣,5.0,
匿名用户,4.0,
又小又胖,5.0,
pJK278562807,4.0,
pJK278562807,4.0,
QMw941378358,5.0,
微不足道671,4.0,
NRR339936062,5.0,
NRR339936062,5.0,
匿名用户,5.0,
xlg521062034,4.0,
_qqmtx1405823555,4.0,
向前冲想爱宝,5.0,
MBe540063762,4.0,
liuguixun,5.0,
稳稳的幸福ai木木,4.0,
稳稳的幸福ai木木,4.0,
稳稳的幸福ai木木,4.0,
ken873898698,5.0,
文华2018,4.0,
RZV315036086,4.0,
ovU700253498,4.0,
ftP287314165,5.0,
trumpet1995,5.0,
伍叔叔,4.0,
Lxq197394,4.0,
张宣亮,5.0,
vtR970336053,5.0,
UhK311068742,5.0,
茉莉清茶2015,4.0,
xxx6527501,5.0,
意林小兵,4.0,
匿名用户,5.0,
匿名用户,5.0,
wrldgod,5.0,
wrldgod,5.0,
wrldgod,5.0,
wrldgod,5.0,
wrldgod,5.0,
wrldgod,5.0,
nji895323246,5.0,
非凡6869,4.0,
小魔女6735,4.0,
cjf_2011,5.0,
Bgu944640942,4.0,
谁家的小仙女888,5.0,
qXU696198570,5.0,
小二来二两姑娘～,4.0,
匿名用户,5.0,
lapfx,4.0,
lapfx,4.0,
lapfx,4.0,
long5334421,4.0,
HQy652635027,5.0,
匿名用户,4.0,
Din369687334,5.0,
oZG332886054,4.0,
匿名用户,4.0,
甲板日记1,4.0,
OfS829118557,5.0,
匿名用户,4.0,
JME947423396,5.0,
zth453446482,4.0,
FBG365735582,4.0,
快乐老菜,4.0,
teT497654879,4.0,
匿名用户,4.0,
张瑞涛1987,5.0,
匿名用户,4.0,
匿名用户,5.0,
匿名用户,5.0,
莫慌抱紧林哥,5.0,
我叫阿铁,5.0,
小猴子Tina,4.0,
TheVoidDragon,5.0,
eVk64761964,5.0,
trumpet1995,5.0,
sytfhc,4.0,
逍遥_小小,5.0,
匿名用户,5.0,
bpM953984658,5.0,
bpM953984658,5.0,
糖豆12345678,5.0,
mao毛虫的天空,4.0,
浅海吾之爱,4.0,
wHq545645421,4.0,
wvI848764562,4.0,
匿名用户,5.0,
JAIxixi,4.0,
wbf665093122,5.0,
zBJ393398179,4.0,
匿名用户,5.0,
xuda0335,5.0,
ipr701251365,4.0,
pAz939554620,5.0,
LLW676288077,4.0,
KPd962023112,5.0,
cuc_doctor,5.0,
匿名用户,5.0,
RNq720266209,5.0,
eaz800554889,4.0,
eaz800554889,4.0,
欣子华,5.0,
柴晋中,5.0,
柴晋中,5.0,
A陶春雨,5.0,
小黄黄懒羊羊1118,5.0,
DUK31871159,4.0,
fCM971309131,4.0,
dTb805959138,4.0,
轩书元,5.0,
玉龙捷赤,5.0,
SFG620714383,5.0,
PHE368903876,5.0,
RhJ939220174,5.0,
心情abc,5.0,
fTU798100323,4.0,
好好好多鱼,5.0,
stv473076452,4.0,
匿名用户,5.0,
BsW157089031,5.0,
匿名用户,5.0,
YIe147440485,4.0,
苏文涛9588,4.0,
lucy504,5.0,
lucy504,5.0,
HNU573589062,5.0,
jMY658129375,4.0,
邱阳｜知识奋子,5.0,
gzailn,5.0,
挺起的脚丫,4.0,
天不变地变99,5.0,
JCb80332520,5.0,
陆派派D,5.0,
陆派派D,5.0,
匿名用户,5.0,
匿名用户,4.0,
trumpet1995,5.0,
eic992414369,5.0,
匿名用户,4.0,
匿名用户,5.0,
匿名用户,5.0,
匿名用户,5.0,
匿名用户,5.0,
TJd311109810,5.0,
匿名用户,4.0,
bBL428418714,5.0,
Vip91郝先生,5.0,
Msy404899247,5.0,
匿名用户,5.0,
安阳群众,5.0,
byx926,5.0,
Isw317394321,4.0,
Wdong.,4.0,
w爱拼才会赢88,4.0,
匿名用户,5.0,
luf143421980,5.0,
小七爱么么哒,5.0,
匿名用户,5.0,
Xxu720093713,5.0,
gabrielchang,4.0,
tian19940908,4.0,
小乙20092010,5.0,
fEN243704134,5.0,
～舞夜幽魂～,4.0,
Dwm981718130,4.0,
匿名用户,4.0,
PPz388141409,5.0,
OfS829118557,5.0,
天雨旭,5.0,
HZZ664108113,4.0,
HZZ664108113,4.0,
A啸天A,5.0,
jameslew,4.0,
匿名用户,5.0,
匿名用户,5.0,
zhaopin4812,5.0,
WJP150513152,4.0,
tpz823599439,5.0,
夏至北极光,4.0,
gmy926151736,5.0,
Xmj576880304,5.0,
lapfx,4.0,
lapfx,4.0,
BSe449222013,4.0,
海洋骄子,5.0,
txM390240056,4.0,
eebone160,5.0,
臭静静我爱,4.0,
匿名用户,5.0,
yishu19820322,4.0,
yuE15534696,4.0,
害羞的阿硕。,5.0,
lXq359302874,5.0,
倔强的老三啊,5.0,
隗合宝,5.0,
LOM553903659,5.0,
liu1189,5.0,
smile仰望天空,4.0,
ct15711002822,4.0,
BSb285864708,4.0,
MBe540063762,4.0,
OIa586948913,4.0,
OIa586948913,4.0,
OIa586948913,4.0,
军刀1970,4.0,
旭季末,5.0,
旭季末,5.0,
XIEXiAoRu1108,5.0,
某时、某刻、,5.0,
我偶像姓苏,5.0,
yangxiaoxiao58,4.0,
yangxiaoxiao58,4.0,
yangxiaoxiao58,4.0,
匿名用户,5.0,
LOM553903659,5.0,
UIk670985787,5.0,
贪吃的霞姐,5.0,
MBe540063762,4.0,
mzx666,5.0,
mzx666,5.0,
鸢儿峥嵘,4.0,
wyq58,5.0,
Zuc901063845,5.0,
柴晋中,5.0,
yangxiaoxiao58,4.0,
LOM553903659,5.0,
_alipay279898441,5.0,
oO西咪西咪Oo,5.0,
QUv927489428,5.0,
匿名用户,5.0,
匿名用户,4.0,
鸡泥太没,4.0,
ltt398821371,4.0,
OPW182796120,5.0,
sunyu6816,5.0,
沙漠乌托邦之英雄,5.0,
hsy黄勇,5.0,
AUU224736512,4.0,
EzM935982292,4.0,
INR245930356,5.0,
aBS492145213,5.0,
关门放大臭,5.0,
nowitzki0225,5.0,
传说中的小米莱,5.0,
XXL534705676,5.0,
童维365,5.0,
NTf200420805,5.0,
Nexus派大胖,5.0,
hsy黄勇,5.0,
NhM571885731,5.0,
宝贝欣欣666,5.0,
mc553246921,5.0,
Hsl330186796,5.0,
匿名用户,5.0,
orange12bb,5.0,
zheng397891,5.0,
匿名用户,5.0,
L1353997077,5.0,
Diaw24,5.0,
nyq958037395,5.0,
糖窦窦,5.0,
京圆,4.0,
FjD560131676,5.0,
有祢、狠幸福,5.0,
路太远66,5.0,
AjL122788321,5.0,
XNE755522151,4.0,
张欧尼老公,5.0,
马马马顿迟,4.0,
夏冰儿1990,5.0,
Dwk763976359,5.0,
010超人Fly,5.0,
zhengyp1220,4.0,
Bwe411724410,5.0,
kxjhyhj,5.0,
knT764572892,5.0,
悠哉0520,5.0,
gPK116175927,5.0,
一个好人680,5.0,
WmG644769039,5.0,
sDm140191925,5.0,
UNf635538826,5.0,
匿名用户,5.0,
幸福you你而定,5.0,
Vincent……龙,4.0,
wsc218,5.0,
狼少198,4.0,
UJW390571625,5.0,
D大漠孤烟,5.0,
Pmt999621829,5.0,
匿名用户,4.0,
vqw815234398,5.0,
HoJ138427527,5.0,
qiI963922655,5.0,
Diaw24,5.0,
smwh2006,5.0,
bldchan,5.0,
gxQ357916079,4.0,
小尊的猫,5.0,
_weixin057093942,5.0,
ZCt674028440,5.0,
小尊的猫,5.0,
我是你曼姐2,5.0,
lixieyunq,4.0,
差不多先生ing,5.0,
冇笑容,5.0,
FFZ412364067,5.0,
bmN666177251,5.0,
PDR642840882,5.0,
啊？是你啊！,5.0,
此用户信用较差,5.0,
趁时光还在1223,5.0,
妮妮549,5.0,
为啥昵称都被占用,5.0,
ell348127847,4.0,
mildlights,5.0,
M丁玲雨M,5.0,
sjj515246041,5.0,
rlM852208097,5.0,
VVB181484665,5.0,
富婆0504,5.0,
安大大rr,5.0,
尐安逸,5.0,
晋浪酒,5.0,
凄凉山谷的狼,4.0,
LOM553903659,5.0,
wangsuling1972,5.0,
bxj夏季微凉,4.0,
万恶的萝卜头,5.0,
PSi858120123,5.0,
靖280188789,5.0,
程宇cherry,5.0,
路太远66,5.0,
光阴似洪水,5.0,
yuezi9168,5.0,
KcB721480360,5.0,
Ovg592210437,5.0,
Ovg592210437,5.0,
淡墨394,5.0,
总美团,5.0,
_qqvmx1332488160,5.0,
有祢、狠幸福,5.0,
sunjiaqi315,5.0,
ZNc283437482,5.0,
V凤凰龙V,5.0,
Lzz511623088,5.0,
以时光为眸0,5.0,
FxL651313943,5.0,
贾晓丽455,5.0,
Cplasf999,5.0,
DTv87063580,5.0,
xiaotang0306,5.0,
finnigan,4.0,
匿名用户,5.0,
AMe581511793,5.0,
lFG514199108,5.0,
匿名用户,4.0,
zFH939827980,5.0,
crR435975296,5.0,
匿名用户,5.0,
GlNO1,4.0,
凄凉山谷的狼,3.0,
enK958906508,5.0,
ZYW408575510,4.0,
景姚aaa,5.0,
趙小嘿,4.0,
Dts412335806,4.0,
li黎帅尔,5.0,
Dwk763976359,5.0,
Dwk763976359,5.0,
魅力苍海,5.0,
SKo828208571,5.0,
yxc285027594,5.0,
魅力苍海,5.0,
我是小小魔王,2.0,
我是小小魔王,2.0,
匿名用户,5.0,
Uld944595714,5.0,
快乐王子477,4.0,
武则瑩,5.0,
壹贰叁一二三1230,5.0,
开心快乐就好耶,5.0,
LOM553903659,5.0,
LOM553903659,5.0,
匿名用户,4.0,
甜心xinxin,3.0,
HANPENGFLY,5.0,
renyue97,5.0,
doria48256,5.0,
dan_911,5.0,
LOM553903659,5.0,
LOM553903659,5.0,
LOM553903659,5.0,
KzX472399005,3.0,
osf457759497,5.0,
SUM439515278,4.0,
小轩086,5.0,
ssx316,5.0,
izp70524026,5.0,
pnH375096161,3.0,
uyq134798416,5.0,
認眞的雪0614,5.0,
坏笑的魔力鸟,4.0,
京圆,4.0,
AYP904929616,5.0,
agW445015055,5.0,
张旺先生,5.0,
shiyiru2012,3.0,
错过338,4.0,
匿名用户,3.0,
悦悦悦悦妞,5.0,
匿名用户,3.0,
wwm911,4.0,
xiaofeifeihe,5.0,
qkZ277886800,5.0,
Kevin魏j,5.0,
亲亲亲亲860,3.0,
mFL820841127,4.0,
匿名用户,5.0,
xfq1989,5.0,
匿名用户,3.0,
kdH932860717,1.0,
ZBH非常可乐红红,5.0,
匿名用户,5.0,
急待回复,4.0,
vFy276020136,3.0,
whu30072,5.0,
newsun03,5.0,
妞妞乐购1,5.0,
匿名用户,4.0,
xxxfox,5.0,
sjY884324007,5.0,
匿名用户,5.0,
匿名用户,5.0,
drdior,5.0,
墨菲斯之翼,4.0,
匿名用户,3.0,
匿名用户,5.0,
xMu969529048,3.0,
匿名用户,5.0,
zhuizhuishiwo,4.0,
匿名用户,5.0,
wxY942628210,4.0,
justinlink,4.0,
匿名用户,5.0,
匿名用户,5.0,
匿名用户,5.0,
宫心超,5.0,
香奈尔潇潇,5.0,
zhuizhuishiwo,4.0,
tufu9441,3.0,
我本名,1.0,
刘汝建,5.0,
匿名用户,5.0,
匿名用户,5.0,
匿名用户,3.0,
匿名用户,5.0,
橄榄绿0108,5.0,
匿名用户,5.0,
匿名用户,4.0,
不想同名而已,5.0,
匿名用户,1.0,
a171252657,5.0,
博雅致知,5.0,
匿名用户,4.0,
胡思敏740,5.0,
sjm720121909,3.0,
LzX20131025,4.0,
匿名用户,3.0,
匿名用户,4.0,
匿名用户,5.0,
ENW488669206,5.0,
WQB679992206,4.0,
玩世不恭的心态,4.0,
匿名用户,3.0,
七七无双,5.0,
匿名用户,1.0,
shidy36,4.0,
匿名用户,4.0,
WHX560081589,5.0,
一米阳光311,5.0,
指根指根,5.0,
Skiboy316,5.0,
匿名用户,5.0,
mdsny1999,4.0,
匿名用户,4.0,
匿名用户,5.0,
匿名用户,3.0,
年华倒影0,4.0,
匿名用户,5.0,
匿名用户,5.0,
bw9522,5.0,
WTb590804586,5.0,
vvlinda,5.0,
区域,北京,餐饮类型,小吃快餐,店铺id,40066276,店铺名称,张亮麻辣烫（后沙峪江山赋店）,经度,116.55513,纬度,40.111878
用户,星级,评论
Mengqinglin520,3.0,口味不错 挺好吃的 哈哈不错不错的
wCz703609988,1.0,这家店太坑了服务差。下单25元餐不出单子服务员什么都不知道。打了几次电话服务员都整不明白开车到店。服务员又说店长没在抱歉给你多弄点结果是骗人的。25元里面什么都没有一个人吃不饱。服务太差太坑不要到这家店点餐。
福帅fu,5.0,美味佳肴
青韵化蝶09,5.0,环境好，我都是老顾客了，菜品还行，基本都有，营业到很晚，方便上班族吃
青韵化蝶09,5.0,这家麻辣烫，我们经常去，下了地铁回家的路上，很方便，很卫生，味道很好， 推荐
xVw673862930,4.0,味道好，汤好喝，服务好，菜品丰富繁多，新鲜，下次还会去吃。
xVw673862930,4.0,麻酱味道好，麻辣烫也不错，好吃。
wowrainbowaa,1.0,老板是想钱想疯了，所有菜品都泡水增重，每份麻辣烫加收2块调料费？！不吃你家的自助调料为啥还要收？夫妻俩人一起来吃点两份为啥不建议合成一份，省点调料费？小票打出来也不提醒顾客收好，一点服务意识都没有
i7小北,2.0,感觉换人了，不太好吃了，到店里吃不如点外卖实惠
比较大根,5.0,张亮还是很好吃的，麻辣烫一哥阔以
啊翔741,4.0,【口味】非常好，
i7小北,5.0,特别好吃，比杨国福的好吃。蒜汁特别香
rtv259696348,4.0,还不错，挺好吃的
oMb444496258,3.0,还可以，挺好吃的！就是越来越贵了！
冷冷冷004,5.0,不错的选择
冷冷冷004,5.0,非常不错！
我叫帅斌,3.0,经常在他们家吃，整体还是不错。就是整体贵一点
匿名用户,1.0,口味越来越差跟之前不是一个味道
p1t1rli,3.0,新装修了。好想也换老板了。味道有点变了。有自助麻酱
元元8958,4.0,老去，家楼下
RDx510925701,3.0,味道不错，店内很干净，晚上用餐得赶早，晚了就没啥东东了😜
Happy910113,3.0,还不错，吃了几次了 挺好片。。。
匿名用户,2.0,菜品不是很多，晚点都没有什么菜了
ldB606452058,5.0,不错
河马仔VS璐仔,2.0,味道还可以，就是青菜蒿子杆有点老，特别柴，择菜阿姨你眼里都是钱，老成那样的菜不能去一点根么！连着两天去都是这样，下次不去了！
zhuimengderen1,5.0,比较喜欢吃，感觉挺干净的
atoatoato,4.0,老味道，新装修了，厨房干净很多。小料自己弄很人性化。
吃喝玩乐的跳跳龙,3.0,不经常吃这个饭，也挺好吃，以后还会吃
匿名用户,2.0,一般，价格也不便宜，主要东西不是那么新鲜
KkO339469531,1.0,清汤的是独立小锅煮的，该后没有原来的好吃，下次考虑换一家了
匿名用户,4.0,荤素搭配，简单美味，隔断时间就会吃一次，有了美团，价格更美丽了，重要的是小孩也可以吃，大人解馋的同时，可以兼顾孩子，一家店全家人的饭都可以解决了。干净卫生，不想做饭时的首选，是我的最爱，连孩子都说该点赞👍
FrV776330229,2.0,原来蒜泥里好多香油现在几乎没有了，吃了27.7店家直接要28，没有事先声明，而且现在大家都微信或支付宝付款，不存在找零问题，不知店家为何要多收款
匿名用户,3.0,总得来说      还可以吧    好像不如开始了
绿地黄斌,5.0,还不错 挺好的
LssTxx,4.0,味道很好，麻辣烫张亮家的确实口感比其他家好一点，个人感受
LssTxx,4.0,味道不错，还能多吃点蔬菜哈哈
木林森851,5.0,不错，经常去
mahaipoo,4.0,味道好，人好多，天冷了。超级好
ming01497598,5.0,赞
ming01497598,5.0,赞
wPo376939669,5.0,店家服务态度非常好！下次继续光顾
花花onthesky,5.0,味道不错，给的麻酱充足，服务员态度好。  不去旁边的杨国福了，服务太差，还偷工减料，真是够了…… 以后来你家
pNX481623300,5.0,菜品丰富，种类多，美团有优惠比较划算
pNX481623300,4.0,挺好，菜品丰富，卫生挺好，上菜快
ming01497598,5.0,环境好、服务号、味道好、经常来
xin1106,5.0,冬天还是吃张亮舒服，有菜又有汤
sonnylong,5.0,好评必须给！味道好！
阿晨想养猫,3.0,以后路过后沙峪不知能不能再来一份麻辣烫。
xin1106,5.0,菜品丰富。好吃不贵。美团划算。
xin1106,5.0,喜欢张亮，菜品挺多而且新鲜，非常好吃
heng19821101,5.0,挺好的，经常去
rTA689566763,5.0,可以，我挺喜欢吃的，我和闺女两个人吃了30多.
LssTxx,5.0,想吃麻辣烫，非这家莫属很好吃，满满一大碗被我吃光啦。
rTA689566763,5.0,好👌
永不凋零的花末,4.0,味道还不错，去过很多次
Wxxw2118,5.0,菜品齐全，服务到位，口味纯正。价格合理。
ming01497598,5.0,就在公司附近经常来、整体还可以！
ming01497598,5.0,就在公司旁边、经常来、味道不错！
Happy910113,2.0,以前去的 不咋满意！味道不错！服务稍差！改进
MrLiu刘10,5.0,有 v 应该要付出不够vv
sgu559525361,5.0,经常来   很好吃   经济实惠
回眸、若惜,4.0,环境还可以，就是总是有苍蝇，味道也还好
xin1106,5.0,经常来，菜品种多，就是有时候人多有点慢
Happy910113,4.0,味道好！就是酒水不能用美团卷，但是详情是全场可以用！md
木子大垚垚,5.0,还挺不错的
xdw249378648,5.0,很不错。不是第一次了 #很美味# #鹌鹑蛋#
小汤圆玩玩玩,5.0,经常来，服务员不错，挺好的，种类比较全
tintinyo,5.0,每次来都要吃 味道很好 煮的很熟 我喜欢
Sth440919181,1.0,味道不好，服务态度不好，希望改进
吖朵已被抢注,4.0,我是喜欢吃麻辣烫的，大食代那种真不行，但是这家也没有以前菜品好了，可能阿姨总不在，店员就没那么要求了。
CZh401671131,5.0,非常好吃的舒服
QLU195011446,5.0,经常来，环境不错，服务员也很热情。
crA478855985,1.0,服务员态度说话难听不好菜里有坏菜
匿名用户,4.0,可以的 离家近 经常来 菜品能多加点就更好了 服务态度都很好
lWM800500958,5.0,服务员态度不好，
匿名用户,5.0,最后一次吃的时候吃出了一只苍蝇，之后给退款了
WILLANSON,5.0,挺好的，经常来，汤也能喝，干净卫生，服务也好，时间快。
yuan1009hl,5.0,物美价廉经常来
yingjinpang,5.0,还不错，就好这口。吃不腻
yuan1009hl,5.0,多次来，喜欢
sonnylong,5.0,好评如潮！常来这家店，阿姨人很热情！
LEEANLIU,5.0,吃过很多回了，会再去的
sop149022737,4.0,味道比较喜欢，经常来吃了，总觉得没以前干净了。
女王大人crazy,5.0,贵 味道淡
晶如鱼,3.0,对于老板的扣也是醉了。以前那老板都是有点零头抹了，现在是都给你添上！
banban119119,3.0,屋子里有股味道。受不了。不知道是不是天气原因。
GNl486932376,5.0,回头客味道好服务好干净卫生大爱
yuan1009hl,4.0,物美价廉
yuan1009hl,5.0,物美价廉
yuan1009hl,5.0,物美价廉
yuan1009hl,5.0,物美价廉
rqy250808515,5.0,好吃，实惠！
瘦瘦106,5.0,好吃呗。心烦的时候一定要吃好东西，不然不多难过
vvT661522608,5.0,环境不错，味道也很好
闫小白786,4.0,还行
幸福的小烧鸡,3.0,一般吧，凑合，吃的一般般，态度一般般
好运风淇淇,5.0,味道可以。菜品干净。服务态度非常好。满意。
wj_vic,2.0,味道一般，烧饼超级难吃！态度也不好！
我要攒积分,5.0,一直都不错 还能领停车券 经常去吃
_qqxh41370519824,3.0,麻辣烫，有什么可说的，味道都差距不大
我为民生,5.0,好吃不贵，优惠4元。很好！
Vuf654960004,4.0,鱼味道很不错，每份蔬菜量有点少价格小贵，环境不粗跟朋友一起吃饭聊天很好
我爱彤彤彤彤爱我,5.0,很好吃！
wPr662254301,1.0,菜煮的烂，像猪食一样，还是提醒过得，再也不来了
Rita1230812,5.0,一般吧，味道都一样，不过他家食材，有点不新鲜了，可能我去的时间不对？
xixielf1,3.0,不是我喜欢的味道，不过有人可能比较喜欢吧
odW210742510,4.0,挺好的，菜品新鲜，量足，继续努力改进
LVn204482732,5.0,味道不错，量挺大，吃着给力，一个人点了二十来块钱吃不完。
退伍老兵2611,5.0,好吃，一直喜欢的一家店铺，很干净可口
岳KING,5.0,环境卫生不错，离公司也近，味道还可以，大众口味
GNl486932376,5.0,什么都好，人很多，去晚些就会有些东西没有，但是还是喜欢吃
zhchp0927,5.0,去了好多次很好吃喜欢喜欢哈哈😄
烦心的泡泡,3.0,比较喜欢，经常来了，就是没有山药，一般都有的，这里没有，很遗憾，饮料比较贵，一块钱的饮料这里卖三块。一次消费至少要二十多才能饱。算是比较贵啦！但是又很爱吃，没办法。吃过跟它家同名的也很好吃，但不是一个味道，很奇怪。
cOU29490733,3.0,很多桌子都没收拾，菜品很多都不全一问就说都卖完了，不断接外卖单店里吃很长时间才可以。店内吵闹的厉害。
小兵嫂_,1.0,服务不好，菜算可以把。就是离家近很方便而已
XmK125395001,5.0,棒棒哒干净卫生 管理有序 很满意
HOg623513134,5.0,常来，好吃也干净...........
李岱润334,5.0,我认为特别好，就是差我一个烧饼还没给
曉锕張,3.0,"就有同学向我推荐这所谓的人间美食，可惜呀可惜，这一直是“久闻其名，不知其味”，直到有一天，“美食天使”终于带给我了好运，让我亲口尝了尝现做现卖的人间美食——麻辣烫，让我至今也回味无穷。
前几天，我的表现让老爸老妈十分满意，同意我的一个请求，那个请求可以随便提，于是我当然选择了麻辣烫喽。我叫爸爸给我十元钱，带着妹妹去“老程麻辣烫”吃麻辣烫，在去吃麻辣烫的路上，我老远就感到有一股浓浓的香气扑鼻而来。这更加促使我加快脚步来到了麻辣烫店，我选好菜后，无意中看见师傅正在做着麻辣烫"
GMh847655891,5.0,环境不错离家很近也方便味道也很好，会经常光顾的。
GMh847655891,5.0,味道很不错离家也很近，会经常光顾的。
zan睿谦,5.0,离家最近的张亮麻辣烫，点餐方便、送餐速度快。
ENy285305192,5.0,送菜来的太慢，别的挺好，去几次了
ENy285305192,5.0,去过几次了，还会在去的，总之不错
rfn249487380,5.0,很好吃阿，离得近，很方便，会常来的
绵绵jally,5.0,很好，老顾客了，就是味道没有刚开始好了，不知道为啥
aurora922,5.0,去的稍晚，人不是很多，喜欢麻辣烫的汤
匿名用户,5.0,家门口的店 去过很多次了 味道很好
HOg623513134,5.0,常来、好吃不贵、张亮家吃过的就她家最好吃...
HOg623513134,5.0,常来、好吃不贵、张亮家吃过的就她家最好吃...
HOg623513134,5.0,常来、好吃不贵、张亮家吃过的就她家最好吃...
天天红月月发,5.0,离着不远经常过来！！！！！！！！！
W只吃饭不洗碗,5.0,好吃好吃..最喜欢这家店的口味
FcZ338718386,4.0,每家的味道不一样，这家经常吃，去晚了没有那么多菜！
GNl486932376,5.0,很喜欢吃，服务也好，味道也好，环境也可以
双宝主吃,5.0,东西不错，一般家常菜，来不及做饭就点餐
双宝主吃,5.0,东西不错，一般家常菜，来不及做饭就点餐
双宝主吃,5.0,东西不错，一般家常菜，来不及做饭就点餐
daliu0112,5.0,味道不错的，菜品很多的，汤还是不错的，麻酱另加还要加钱
rfn249487380,5.0,很好吃，环境也很干净，态度也好
liangkw,3.0,等的时间太长了，半小时，其他都还好，
喜重逢.,5.0,"挺好吃的,环境也不错,挨着近经常去他家吃,但是服务不咋地"
wPr662254301,3.0,现在不去了，菜煮的太过了，不好吃
我要攒积分,4.0,比较实惠 比吃别的强 都一顿二十块钱能把我吃撑的地方还不多
杰里米77,5.0,去的后沙峪店，味道、服务都不错。
匿名用户,5.0,味道还是不错的，服务也还可以，很好吃
匿名用户,5.0,菜品不是很多了，有的都没有上，味道不错
lsxwyh2008,5.0,好吃，我和老公两个经常去吃，别忘记要停车卷呦！
lsxwyh2008,5.0,好吃，我和老公两个经常去吃，别忘记要停车卷呦！
lsxwyh2008,5.0,好吃，我和老公两个经常去吃，别忘记要停车卷呦！
lsxwyh2008,5.0,好吃，我和老公两个经常去吃，别忘记要停车卷呦！
cpc3939183129952,5.0,挺好的，味道很不错的，去过好几次了。
幸运的阿春,4.0,味道还是不错的，麻酱给的挺多。
tintinyo,5.0,蔬菜很新鲜 环境很好 每次来这都得吃他家麻辣烫
