区域,北京,餐饮类型,火锅,店铺id,298462,店铺名称,东来顺（世界公园店）,经度,116.290989,纬度,39.813989
用户,星级,评论
KkU219534632,4.0,味道不错，肉也新鲜
小馋猫儿..,3.0,菜量很足，四个人吃正常量一定吃饱，好多盘肉
匿名用户,1.0,吃过太多家的东来顺，这家口味麻酱太差略苦，套餐里的牛羊肉口感不是牛羊肉。
rygyz,5.0,团的6人餐，5个大人，两个小孩没吃完，打包了，量很足。老牌子老店，味道不用讲啦，棒棒哒，团的也一样对待，来了好几次了，还会来！
OWg440339746,3.0,服务好😊上菜速度快，菜还可以呀！
匿名用户,1.0,肉太差了，长这么大就没吃过这么难吃的肉
rygyz,5.0,团餐很实惠，店里一视同仁，好吃，量也不小，6人餐6个大人够吃不用加菜。
lsdy8053,4.0,火锅很正宗，服务周到，环境好，有机会再去。
潇洒人间道,1.0,"1、就餐环境非常差，六桌就餐3桌吸烟，服务人员不管。吃顿饭因为吃饭人员吸烟换了两次座位，服务人员也不对吸烟人员制止。
2、有苍蝇，服务员说肉吃的太慢才招苍蝇，这是什么道理。
东来顺在北京好的很不好，这都是老字号的，看来老字号也是招牌而已。"
匿名用户,4.0,口味纯正，菜品丰富，环境不错，服务态度也很好。
匿名用户,3.0,还不错，两个人要的4人餐，有点要多了，打包带走
timeless木叶,1.0,假肉，要了一小碟老干妈还收5块钱，服务特差，服务员表情就跟欠钱一样，下次免费吃都不去
zUr546749242,1.0,服务态度特别差  乱收费  也不好吃  再不想去了
say人间大炮,3.0,京城老字号涮肉了，只是服务员不一顿推销菜品和酒就更好了，喜欢安静的就餐
匿名用户,3.0,作为外地人，还是吃不习惯京味火锅，不过2人套餐吃的挺饱。
ClE844727944,4.0,味道不错，值得推荐，下次还会再来！
匿名用户,3.0,没有在店内直接消费的菜新鲜，正常消费很好吃 #烧饼#
匿名用户,2.0,团购的2人餐，羊肉下到锅子里就散掉了，不值得这个价格，小贵，味道太一般了。
WlV31846181,2.0,【口味】一般，白不新鲜，肉太老不好吃，海带都泡烂了。
青格桑,4.0,一个人吃的，还算可以
rose、琳,3.0,"性价比高 味道也还可以 离家近
【环境】一般"
匿名用户,3.0,口味较清淡，不适合辣口和重口味。
rose、琳,3.0,"【口味】还可以
【环境】一般
【服务】挺好
【等位】不需要"
素食小汤圆儿,5.0,团购特别合适，而且有充足的停车位
jcxy1103,5.0,N次来了。 好吃就是好吃。口味纯正。大力推荐
Mokshayy,1.0,**服务 ** 无明显标价  服务差  结账的那个女的好像谁欠你八百万似的 收拾桌子 也不是把饮料倒掉  而是直接拿走？？？什么店？？？服务极其恶劣  不满意 再也不会来
hjl93,2.0,不知道是来了一家假的东来顺还是吃了一顿美团特供版套餐，麻酱偏咸，一个红白分开、界限清晰的一盘肉一看就知道是合成的，既不是羊肉也不是牛肉，跟我之前吃过的其他的东来顺完全不一样。服务态度略差，一个个鬼迷六眼的，刚把筷子放下，喝口水就站在旁边盯着看，着急收锅，就站我旁边盯半天，就差我请他坐下来一起吃了。这些加盟的东来顺，各方面还是差的很远，以后不回来了。
匿名用户,2.0,菜还行，感觉清汤锅底和白开水没区别，还有大厅很对人吸烟，很令人反感
kingwayrich,4.0,觉得总体还不错，离世界公园比较近，整个口味也符合这个东来顺的一贯水平，铜锅木炭还是比较有原味的，比那个不锈钢电磁炉有味道的多。
GOf85222717,2.0,一般般吧 老字号你懂的...尤其北京老字号...尤其是北京老字号连锁
giselababy,3.0,团购的双人餐，上菜速度还挺快，都提前备好的。鸳鸯锅味道还可以，羊肉很好吃，牛肉一般。两个大人一个孩子分量刚刚好，人比较多，服务慢
匿名用户,5.0,吃遍京城东来顺。讲道理还是这家正宗。小料。羊肉。牛肉新鲜。木炭火锅口味纯。真心不错。 大力推荐
匿名用户,2.0,肉类和锅底质量很一般，面条也很难吃。晚上饭点大厅的上座率不足20%，虽然是团购，不推荐。
xidongxiao,2.0,味道还凑合，就是服务员态度差，是极差，晚上九点去了，随便坐的，竟然还不让座，他们就是怕收拾，食物一般，服务极差
jcxy1103,5.0,一日既往的好 菜品肉品干净 大堂卫生好 服务好 总之哪都好。还会光临
jcxy1103,5.0,这个评论写的有点晚。 第一次就上瘾了。 各个方面无可挑剔。 大力推荐。
kTj344376869,3.0,菜品量多，挺实惠的，北京的菜品量大
LuV162954006,5.0,团的套餐，上菜快，食材新鲜，还会再去。
陈馨515,3.0,好吃，一家人去吃的，味道好吃，不是团购就贵
fifa1945,5.0,纯正北京地道涮锅味，节假日团购也能用，良心商家。
匿名用户,5.0,味道好，服务态度好，菜品丰富，。
尹康康x,3.0,还可以通过手机的方式进行的调整好
OgK692275940,4.0,清汤锅居然吃的这么香，俩人带俩孩子点着二人餐，足够了！
renfenfenlulu,3.0,还可以，就是没有前门店卫生条件好
匿名用户,4.0,很好 #烧饼#
luoming890915,4.0,太好吃了，套餐两人吃不完，还是北方的羊肉嫩，下回去还要吃！
徐峥1981,5.0,到北京旅游，酒店住到丰台区，当然要吃吃正宗的涮羊肉，团购很实惠，还剩了一盘羊肉一盘牛肉没吃完。品尝到了地道的北京麻酱，有机会到北京还要去吃他们家的 #东来顺手工鲜羊肉# #精选小肥羊# #至尊肥牛# #精选羊上脑肉# #芝麻烧饼#
匿名用户,4.0,离家近，经常来
栾影,5.0, #精选小肥羊# #精选羊上脑肉# #东来顺手工鲜羊肉# #烧饼#
breezy365,5.0,北京老字号东来顺的确是名不虚传，现在都是连锁店，本来在所在城市吃过的，这次举家出游到世界公园玩，没想到在附近也发现了这家名店，家里人也没尝过，晚餐就在这解决了，炭火铜锅那叫一个地道，水开的比电锅还快，简单的麻酱小料上用酱豆腐画了个笑脸，味道特别正宗，两种羊肉片口感不同都很好吃，更爱吃上脑，羊肉丸久涮不老，嫩滑鲜香，还要了羊肉串，羊肉味很浓，孩子有点吃不惯，我倒是能接受，烧饼做的也是又脆又香，以后有机会还会来。
zzS641271674,5.0,真的挺好，分量也足，2人套餐一家三口没吃完
Maturelam,5.0,非常好吃哦😋晚歺必吃美食！你
匿名用户,1.0,"【服务】差，差，差！重要的事情说三遍。比邻近两桌早到20多分钟，人家都吃上了我们的菜还没有上，问服务员结果说没下单，也没有说对不起，感觉理所当然。前台收银员还来问我扫码没，说因为忙不记得了。锅里的水都烧下去一半了都看不到没上菜吗？这要是不催着上菜，打烊了都没人管。要个漏勺还要两次提醒才给拿。店大真的会欺客，我就呵呵
【口味】还可以、肉一涮就分离了。"
匿名用户,5.0, #烧饼# #糖蒜辣椒油# #精选小肥羊#
