区域,北京,餐饮类型,烧烤烤串,店铺id,42081214,店铺名称,韩时烤肉（枫蓝国际购物中心店）,经度,116.356607,纬度,39.952606
zhangye1021,4,环境不错，服务很好，套餐还比较值的！,,,,,,,,,
Zfy934163693,2,烤肉可以有点贵，冷面简直味怪得没法说,,,,,,,,,
独游,3,很好吃，环境好，服务好，值得去,,,,,,,,,
CGG345862222,4,好吃！第二次了！下次去就自己点了！,,,,,,,,,
daijie0303,5,办了会员卡，感觉很实惠，一有优惠就来吃,,,,,,,,,
wPP829754554,2,服务大不如从前了，也许是因为吃饭人多的缘故吧，真的是服务水准大幅下降啊,,,,,,,,,
Caz468825789,5,超棒，服务好，环境也超棒。推荐推荐,,,,,,,,,
kVU14697065,5,放入锅炉的话，我们的生活方式，我们的生活方式，我们的生活方式，,,,,,,,,,
郭姗姗217,5,跟朋友去的，没吃完，超级赞。建议女生的话3人去吃。,,,,,,,,,
goc498895018,4,不错的不错的不错的不错的不错的,,,,,,,,,
HtV446650632,2,一般吧，价格不低，空间拥挤！！,,,,,,,,,
凯凯凯丽0923,5,已经来过很多很多次了，特别的好，服务态度也特别好，以后还会继续再来！,,,,,,,,,
慵懒de喵星人,3,要提前去，人多，不用自己烤，非常好吃,,,,,,,,,
HtV446650632,4,态度很好，服务不错，满意，赞赞赞！,,,,,,,,,
水月亮518,5,这是枫蓝店，在商场里面，六点前几乎不用排队。上菜速度快，服务态度非常好，味道也超级棒，在他家入会员特别超值，办会员卡还送饮料。消费还有积分，积分可以折成现金用，会员还能送肉，送饮料什么的，生日还有生日礼包，真是太值了。#雪花牛肉# #调味牛排# #韩时五花肉# #辣白菜炒饭# #南瓜粥#,,,,,,,,,
宋派派,5,特别喜欢他家的东西！尤其是南瓜粥！,,,,,,,,,
roy999526363,5,不错不错！！！！！！！！！！！,,,,,,,,,
彤汐,4,套餐不错，只能用一次。服务一般。环境不错。,,,,,,,,,
匿名用户,5,吃的爽。。。。。还不排队 整的不错,,,,,,,,,
匿名用户,5,套餐真的很给力！其中最爱五花肉，蘸着酱料包在生菜里吃简直太美味啦，牛肉和羊肉也不错啊，南瓜粥生菜酱料都是无限续的，服务态度也很好~,,,,,,,,,
hanyanju102,5,很不错，小菜很多，南瓜粥无限量，服务到位,,,,,,,,,
hzj0311,5,超级好吃，服务也好，下次还会来的～,,,,,,,,,
hongyawang,4,还不错的烤肉，两人吃很饱，也不算贵,,,,,,,,,
xiangyg123,3,味道不错，肉品也比较新鲜，值得一来,,,,,,,,,
所有一切都一样,3,还不错，服务也很好。套餐也够吃,,,,,,,,,
匿名用户,3,口味还好，套餐也较丰富，大酱汤第一次喝太辣了。,,,,,,,,,
angela_king,4,厚五花肉加上辣白菜非常好吃～～,,,,,,,,,
RuJ332839823,5,味道很好，服务和环境也很不错，下次还来,,,,,,,,,
苏嘉年,3,还不错 还不错 还不错 还不错,,,,,,,,,
Joanna0513,4,很好～很棒～很喜欢～下次一定还来～,,,,,,,,,
于丹丹0476,5,从中午一直吃到人家晚上 真的是挺不好意思的 服务态度很好 哈哈哈 免费的南瓜粥很好呢 现在好怀念那个味道 五花肉强烈推荐,,,,,,,,,
JHB816666379,4,服务很好，下次还会再去，味道不错,,,,,,,,,
ykdy202,5,正宗的韩国烤肉一样 还有服务非常好,,,,,,,,,
Qft338074857,5,味道不错，态度很好。还会再去的。价格不低。吃个半饱,,,,,,,,,
程华泽,5,不错不错，服务和食材都很好，推荐。,,,,,,,,,
TPv757553135,3,还好，菜品少，选择少。服务较好,,,,,,,,,
qQp709395265,5,烤肉味道很好，其他菜品也还不错,,,,,,,,,
bench520,4,服务挺好，但是烤肉特色不足 一般吧,,,,,,,,,
谷谷西,5,服务好味道佳，已经来了很多次了，五花肉和肥牛是必点，强烈推荐，这家店是枫蓝店，顺便说一句这里的炒饭也是相当的香，如果不是很能吃肉的朋友可以只点五花肉，然后单点一盘腌制好的肥牛超好吃，一个字：“香”！美团团购很划算哦！,,,,,,,,,
qQM471651548,5,非常好吃撒，菜量口味都很好，服务也不错,,,,,,,,,
刘雨谦,5,去得时候人少，正好周一，半会员卡赠送饮料非常非常好，非常非常非常好。,,,,,,,,,
匿名用户,5,味道很好，枫蓝这家环境服务都很不错，推荐朋友一起来,,,,,,,,,
匿名用户,4,去过好几次了，这次去服务明显没有之前好了，坐那好久没有服务生理，烤肉都熟了小菜之类的也没上，烤肉也需要我们喊服务员才会动，服务很被动，服务员那天心情好像挺不好，一直板着脸，也是醉了…,,,,,,,,,
灰灰呀我是美美,5,好吃！划算！！服务很好！！超值！！,,,,,,,,,
匿名用户,3,环境有点呛，吃的一般吧，价格也不是很便宜，估计就是吃一次吧,,,,,,,,,
匿名用户,4,服务挺周到的 口味也不错 推荐烤肉,,,,,,,,,
匿名用户,5,还是蛮值的，店内套餐179 团购价只要169 还多一盘泡菜炒饭～,,,,,,,,,
呱呱呱太,5,服务员都超级萌，味道是吃过的最好的了,,,,,,,,,
Eba77778483,5,好！………………………………………,,,,,,,,,
liufzh,3,肉很嫩，量挺大的，服务态度很好,,,,,,,,,
匿名用户,5,不错，量很足，味道也很好，服务到位。,,,,,,,,,
匿名用户,2,都很好服务也周到，就是炒饭没给我啊，白花钱了。,,,,,,,,,
匿名用户,3,不用自己烤是喜欢他家的主要原因。,,,,,,,,,
tracyhd,4,味道不错，服务也好，量一般吧，两个人吃了300才饱。,,,,,,,,,
lqM275587598,4,服务很好，推荐！！！！！！！！,,,,,,,,,
波妞与大龙猫,5,烤肉很好吃，拉面不错，最推荐的是免费的南瓜粥，太好喝了#南瓜汤# ，雪花牛肉也很好吃，大酱汤里面有虾仁哦，奶酪玉米很甜，玉米很好吃，服务态度超赞，喜欢那个给我们烤肉的妹子，很体贴，还很热情的告诉我们怎么吃，蘸什么酱,,,,,,,,,
ydn27003849,5,超级好吃，尤其是土豆泥，每次都吃很多，烤肉更是好吃,,,,,,,,,
飘小朵的美团,5,很不错很好吃，划算，有点小贵，但是还可以哦！,,,,,,,,,
于丹丹0476,5,从中午一直吃到晚上 真的挺不好意思的呢 免费的南瓜粥很好喝 服务态度也很好 五花肉烤辣白菜强烈推荐,,,,,,,,,
张推推sareta,5,可以不用自己动手的烤肉才是好烤肉！而且旁边负责烤肉的小哥还可以任意调戏，老开心了！两人餐两个人吃真的好多啊！而且南瓜粥，小菜，生菜叶和大麦茶都可以无限续啊！表示强烈推荐三个人一起来吃，如果你俩是饭量特别大的老爷们儿就当我没说好了！,,,,,,,,,
匿名用户,5,太好吃了，特别喜欢吃，除了有点小贵以外没有任何缺点！！两个人吃足够啦～～～,,,,,,,,,
tinafan1970,3,交通便利，环境舒适，服务热情，赠送的辣白菜炒饭很好吃。本来团购的是2——3人套餐，开始上的都是两人份的大酱汤，南瓜粥，后来服务员看我们是三个人，主动帮我们添了一份酱汤和米饭，服务好周到。最后还赠送了一份辣白菜炒饭，#辣白菜炒饭#非常好吃。,,,,,,,,,
XUn575627576,5,服务热情，菜品味道好，下次还来,,,,,,,,,
遥远亚平宁,5,套餐很划算，两个人吃完全够，搭配也很丰富，服务很好，不用自己烤，现场做炒饭，味道很好，强烈推荐,,,,,,,,,
懒懒的高贵910,4,味道很好，肉质不错，大酱汤和炒饭都不错，免费品尝的小菜也都很好吃。服务员服务也周到，餐厅环境很舒适，套餐两个人吃有点多，下次可以三个人去,,,,,,,,,
匿名用户,3,挺好的呢，团的套餐，值得品尝，非常不错,,,,,,,,,
lianzhouabc,3,环境还不错，比较实惠口味还好吧,,,,,,,,,
飘小朵的美团,5,比牛市牛好吃！！！还会再来！很划算哦,,,,,,,,,
晶呗儿,4,味道还可以，种类多，服务很好的,,,,,,,,,
BYOF,5,味道服务环境都不错，去的时候有些晚，服务员感觉忙不过来了，也没人总来给我们烤肉。,,,,,,,,,
薯条君Shirley,4,最拒绝不了的就是烤肉了，韩时的价格偏贵一些，但是味道绝对值得。服务员的态度很好，还会再去的～#鲜五花肉# #石锅饭#,,,,,,,,,
梁小曼523,3,好吃~~~~~~~~~~~~…,,,,,,,,,
Qtd534432276,3,烤肉不错 服务也很好 就是没有免费停车,,,,,,,,,
nishikado,4,不错，服务周到，菜品口味也还不错,,,,,,,,,
viciky123,5,偶然相遇的一家烤肉餐厅，人很多，烤肉味很浓，餐厅的服务员服务都很好，烤肉时候都会尊重客人意见选择烤肉的熟肉程度。肉很新鲜，味道很好，辣白菜很不错，喜欢他们的辣萝卜。跟朋友两个人要了一份团购餐吃得很撑，点了青梅酒，味道不是很适合我们，下次点清酒好了。顺便在那办了一张会员卡，离得也近，经常去吃一下还不错，几个好友聚餐的话可以来这里，环境服务都很好，还可以顺便购物，挺不错的地方，值得推荐。,,,,,,,,,
RkQ591299208,3,烤的牛肉很好吃，辣白菜炒饭好吃！,,,,,,,,,
小芒果耶耶,4,很好吃～服务很好～上菜也快～分量很多～推荐哦！,,,,,,,,,
jcao1926,4,服务很热情 2个人团的169套餐 超值 而且很好吃,,,,,,,,,
镁秋宝贝,4,菜量很大，两个人吃不完，烤肉很给力,,,,,,,,,
羊羊白菜,5,来了无数次了，一贯的棒，继续光顾,,,,,,,,,
PyH142234172,3,环境还好一些了，服务还好一些了。,,,,,,,,,
小小小小小咸菜,5,太棒啦 好吃好吃 雪花牛肉最好吃了 还有南瓜粥真是美味 可以无限续碗 团购真划算呢 宿舍6人吃不错 看到肉肉由生变熟的感觉真棒 第一次吃三分熟的牛肉 好嫩啊 服务员态度也不错 烤肉烤的不错 等位很快 比较好找好评,,,,,,,,,
ylzbupt,5,很美味！！！！超级好吃~环境也不错，但是位置有点挤。用美团还是很划算的，尤其是那个六人餐的,,,,,,,,,
诶呦诶呦王蘑菇,3,服务超级好，两个人吃很饱，生菜无限吃,,,,,,,,,
Ill802282817,5,每次都喜欢吃，越来越好吃了，如果能有苏子叶就更好了,,,,,,,,,
aixin_zhang007,5,挺不错，虽然有几个服务员呆些，但还是有几个很不错的。烤肉不错，炒饭里料少些，大酱汤味道也还成。蔬菜不太新鲜。,,,,,,,,,
EhY694585009,5,服务超级棒，还有送果盘。看看帅气的小李哥烤肉的姿势多么的专业。现炒的辣白菜炒饭。真的是不多说什么了。五花肉配上辣白菜真的是绝了。,,,,,,,,,
唐雪冰bang,5,好吃，小菜也好吃，但是样式不一定，南瓜粥有的时候是凉的，比较想吃热的，真的好吃,,,,,,,,,
丁贱,5,很不错的餐 去过几次了 好不好吃只看服务员手艺 不知道说啥只能说靠命了如果是特笨的就完蛋了 有一次烤的全部粘在烤板上了而且里面还有生肉 总体感觉还不错带女票去不错的选择  服务也挺好的卫生也不错 推荐吧,,,,,,,,,
薯条君Shirley,4,最拒绝不了的就是烤肉了，韩时的价格偏贵一些，但是味道绝对值得。服务员的态度很好，还会再去的～,,,,,,,,,
匿名用户,4,还不错 味道挺好  服务很周到,,,,,,,,,
yulan_nm,5,味道不错，位置很好，上菜很快，服务到位，值得选择。,,,,,,,,,
zzllmm2000,3,吃好几回了，很满意，感觉好极了,,,,,,,,,
SnL823175330,4,菜味道不错，服务员会帮忙烤，就是有点吵。南瓜粥好评,,,,,,,,,
喝茶睡得着,5,周六在韩时枫蓝店又团了169元的套餐，感觉3个人用还是挺实惠的，雪花3号、鲜五花肉，特级牛五花肉很新鲜，可是今天的大酱汤汤色有些偏浅，而且巨咸，还是应该注重菜品质量的稳定性、统一****生态度还是一贯的好！,,,,,,,,,
锦州无聊的风筝,3,这个套餐真心太值了。雪花三号还是那么好吃。不敢吃的五花肉其实也还不错。店员元恒伟十分有耐心，我们有老有小一行人各种要求都一一满足。只不过店有点小，也没有包间，中午都有不少人等位，可见味道还是让人满意的 #南瓜粥# 无限量，非常之好吃，强烈推荐 #大酱汤# 好吃，米饭也不错 #雪花3号# 两次都点了，实在好吃，就是量小 #清汤排骨面# 给老人小孩点的，没想到炒鸡好吃，面条很软糯，大家都爱,,,,,,,,,
姜jzm,4,服务态度很好，在枫蓝国际，位置好找,,,,,,,,,
Ill802282817,5,服务很到位，喜欢，南瓜粥好喝，五花肉推荐,,,,,,,,,
西城e族,4,烤肉的口味很好，很有特色，老顾客了。,,,,,,,,,
Wng675714703,3,烤肉的师傅人特别好，长的也很帅，有机会还会去的！,,,,,,,,,
HIw953859186,4,味道好，大人小孩都喜欢，经常去吃,,,,,,,,,
HIw953859186,4,味道好，大人小孩都喜欢，经常去吃,,,,,,,,,
lNR752435398,5,味道环境服务都很好，非常满意的消费,,,,,,,,,
zhf_yes,3,味道不错，服务也不错，小菜无限量供应,,,,,,,,,
Andy3818,4,就第一个肉好吃，后面越来越不好吃，总体还行，略贵！,,,,,,,,,
stthyl,4,还不错，服务很好，除了肉别的都可以无限加，南瓜汁很好喝,,,,,,,,,
fLp579986100,2,一般一般一般一般一般般一般般一般一般,,,,,,,,,
匿名用户,3,味道不错，土豆泥超级好吃，服务也挺好的，环境一般，有点小。,,,,,,,,,
a521xiao,5,第二次来了 还是那么的好吃 服务更一流   有求必应    小帅哥服务态度超好的亲们   下次来可以找他喔,,,,,,,,,
jackjj01,3,菜品还是一往如故的好，还是很喜欢它们家的小菜和南瓜粥，菜量太精少了，服务态度还不错，整体感觉不错！,,,,,,,,,
zuiaimao,3,还可以。吃过好多次了。没吃完。下次再去。,,,,,,,,,
aKg417761248,4,味道不错的，下次再过来还要吃个够,,,,,,,,,
susanna.w,4,我想要是再次吃开肉肯定还是要吃这个啊,,,,,,,,,
独游,5,非常好，非常好，非常好，非常好,,,,,,,,,
匿名用户,5,量很足，服务特别好，上次带爸妈去，他们都说不错 果断办卡，以后会常去.,,,,,,,,,
yuey915,4,我最喜欢烤牛肉拌饭，味道特别好，吃过还想吃，呵呵，南瓜粥也很不错，要是热的能更好，还有嫩牛肉，赠送的小菜也多，有工作人员帮忙烤，就是有点没烤到时候，后来自己又动手烤了烤，五花肉卷金针菇的味道一般，不太推荐。总体来讲还是挺不错的！,,,,,,,,,
周楠,5,团购套餐超值，份量足，服务好。值得一去再去,,,,,,,,,
匿名用户,5,好吃 小贵 喜欢吃肉 推荐 服务号,,,,,,,,,
树上的棒棒糖1118,5,很划算，两个人吃绰绰有余，服务也好,,,,,,,,,
匿名用户,4,五个人吃的，分量足足的，客气周到,,,,,,,,,
匿名用户,4,去的时候比较早 没等位 两个人吃 超级撑 味道不错 服务非常好,,,,,,,,,
mao708,3,今天没排队，服务还好，菜品味道还不错！,,,,,,,,,
qsC824552368,4,这次带老人孩子去的，他们都喜欢,,,,,,,,,
qsC824552368,4,在国内的韩国烧烤里学的不错的一家店,,,,,,,,,
月亮女神915,4,这是我第N次来枫蓝国际店吃他家的烤肉啦，服务依然是那么的好，上菜的速度很快，大家都有条不紊的做着自己的工作。这次的炒饭是令我最满意的，应该是了给的到位吧。但也有不进人意的地方，“生菜“”，没有洗干净，能看的出来也能吃出来。,,,,,,,,,
唐雪冰bang,5,推荐梅花肉和五花肉，适合喜欢吃厚厚的肉的人吃。真心好吃,,,,,,,,,
小秋秋222,3,还行吧 也不是特别好吃 量还行吧,,,,,,,,,
匿名用户,3,服务很到位，服务员态度都很好，烤肉也可以，挺好的,,,,,,,,,
匿名用户,4,菜品不错，服务也不错，推荐大家品尝,,,,,,,,,
DfH624513401,4,第二次来吃了，很不错，以后有机会还会来的,,,,,,,,,
rPJ255750856,5,还是肉最好吃 人不少 对面有家冰激凌也不错 这家烤肉配菜全是无限量供应 菜多解膩 还不错啦,,,,,,,,,
nqR191533825,3,菜品环境都不错，服务也很到位，还会去,,,,,,,,,
uqE726470789,4,非常喜欢吃的烤肉，自己觉得比某山某城好吃。,,,,,,,,,
TXd614878143,3,刚开业就去了，烤肉挺新鲜，服务员很热情、周到。,,,,,,,,,
Kxk815698053,5,好吃！！！！！！！！！！！！！,,,,,,,,,
匿名用户,4,好吃 很喜欢吃烤肉的 还会在去的应该,,,,,,,,,
唐雪冰bang,5,人多的时候，服务生也能尽量顾得上，挺好的,,,,,,,,,
SSb351484477,4,很不错，服务员态度非常好，三个女生吃到撑，真心不错,,,,,,,,,
匿名用户,4,我们都喜欢的食品。孩子们特别爱吃,,,,,,,,,
Tza708936730,5,不错，环境好，服务好，强烈推荐！,,,,,,,,,
gaoxiaoyan7,4,挺好的，也方便，省了一些，挺好,,,,,,,,,
gaoxiaoyan7,4,不错还是挺值的，也比较方便！！,,,,,,,,,
Ydl871027616,5,烧烤很好吃，喜欢他家的环境  服务员态度很好,,,,,,,,,
Susie6Jack,5,服务周到，南瓜粥太好喝了，喝了一碗又一碗，肉质不错，服务员很贴心的服务。,,,,,,,,,
jKM709104914,5,服务周到，分量足，菜品新鲜。。,,,,,,,,,
jKM709104914,5,服务周到，分量足，菜品新鲜。。,,,,,,,,,
划船不用桨666,5,菜量还可以挺好吃的 推荐推荐～～～～,,,,,,,,,
匿名用户,4,记得第一次去的时候还是新开的一家烤肉店 然而这次再去都要排队了 服务很好 食材新鲜 赞赞赞,,,,,,,,,
喝茶睡得着,4,第一次用美团到这家店(韩时枫蓝店)，用餐环境还好，油烟不大，上菜速度也很快，服务态度很好，服务生很勤快，关键是不用自己烤肉，全由帅哥美女服务生操作，菜品质量没得说，肉质嫩滑可口，生菜、南瓜汤、酱料无限量，还是很实惠的。#韩时五花肉##雪花牛肉##烤牛肉片#,,,,,,,,,
wwC627536660,5,味道非常好，服务非常好大赞感觉棒棒哒,,,,,,,,,
大大大万哥,4,烤肉马西搜哟 小菜也好吃 店员也热情 位置多没有排队,,,,,,,,,
quN13065026438,5,味道很不错，又加了一个芝士玉米，味道也不错，那个套餐很合适,,,,,,,,,
达克莱伊462,5,晚上去的没啥人，服务特别好，烤肉是服务员主动帮烤的，不用自己动手，小料小菜什么的免费，但是要问服务员要，决定挺好的，比自助拿卫生多了。肉看着不多，但都是货真价实的，比那种看着多化了就没了的强多了。办了会员卡，以后还会来,,,,,,,,,
哈哈啦564,5,色香味俱佳，开始以为五花肉会腻，吃过以后才知道口感很好，服务态度也很好，和女朋友吃的很开心，顺便办了张会员卡，以后还会常来的，他家的炒年糕真心很好吃，强烈推荐，推荐石锅拌饭，可以试一下泡菜饼，味道也是很不错的,,,,,,,,,
aVf804002918,2,南瓜粥和炒饭如果不是最后催，我看基本是不想给上了。服务员还大言不惭的说，下次来提醒他们先上南瓜粥，我笑了，先上什么后上什么还成了我提醒的了？要不要提醒你下你们菜是怎么做的？话都不会说，怎么当服务员。而且不会有下次了，脑残,,,,,,,,,
Ncq86029170,3,烤肉的味道还不错！！冷面和拌饭只能说一般,,,,,,,,,
匿名用户,5,味道很好，服务和环境都不错，三个人吃的特别饱，特别推荐5花肉很香,,,,,,,,,
rmb328142147,4,服务很好，味道也不错，还会去！,,,,,,,,,
匿名用户,3,服务态度很好，肉的种类也很多。,,,,,,,,,
匿名用户,5,超好吃哦，第N次来，每次都迟到撑，经济实惠，好吃不贵,,,,,,,,,
quN13065026438,5,来这家店好几次了，每次都点那个套餐，合适还美味,,,,,,,,,
ZoX637947316,4,还可以，挺好的！环境可以。喜欢烤肉,,,,,,,,,
bQc387703831,4,绝对棒，口味好、服务好、环境好！,,,,,,,,,
匿名用户,5,套餐实惠 服务好 口味好 不排队,,,,,,,,,
yuaner814,5,雪花特别好吃，南瓜粥也不错，还有泡菜炒饭非常好吃。下次还会继续,,,,,,,,,
ever研研,4,很好吃的一家烤肉店！朋友介绍的！菜品不错！服务也很好！,,,,,,,,,
coffeeLjy,5,服务很棒，有帅哥，肉太好吃，量很大。,,,,,,,,,
maggieshi,5,环境好，上菜速度快，服务非常好，比汉拿山强太多了，必须推荐，不用自己动手烤肉，服务员全程服务，我们一家三口每周都来吃一次，小菜南瓜粥全程供应，绝不断档，美团套餐是绝配，每次都点这个，百吃不厌，推荐#南瓜粥##辣白菜炒饭##鲜五花肉##梅花肉##调味猪排##猪五花##烤五花##金针菇肥牛卷##调味牛排#推荐！,,,,,,,,,
yue161,5,服务很好，味道不错，菜量大，团购价格实惠，下回还会光顾。,,,,,,,,,
HpW668672913,4,干净明亮服务热情，量足够，一份拌饭足矣，点菜或汤量就多了。,,,,,,,,,
大元猫,4,要的调味牛排，孩子很爱吃。部队火锅量很大足够四个人吃的,,,,,,,,,
宦强,5,肉的品质很好，服务员很nice，吃得很爽,,,,,,,,,
_weixin928847296,5,味道不错 团购很划算的哦 推荐推荐,,,,,,,,,
ZDt299514994,5,味道不错，排队时间也不长，服务员帮烤，赞#调味猪排##调味牛五花肉#,,,,,,,,,
iprideal,3,2-3人吃合适！服务到位味道不错！,,,,,,,,,
dnI564237987,5,一直很喜欢，服务和质量都很棒，韩食烤肉，很好,,,,,,,,,
慵懒de喵星人,3,人很多，不早去就要等位，所有东西都不用自己动手烤，套餐很合适,,,,,,,,,
匿名用户,4,烤精品五花肉最好吃 特别香 整体不错,,,,,,,,,
kuma小京京,5,吃过很多次了，每次馋肉了都会来，真的很棒，小菜最爱土豆泥，南瓜粥也很好喝，调味牛五花肉很入味，现炸果汁很好喝，而且烤肉都是服务员给烤，自己完全不用动手，团了团购券也蛮实惠的，总之是一家常去的烤肉店！推荐！#韩时五花肉# #土豆泥# #南瓜粥# #牛肉石锅拌饭# #烤芝士玉米#,,,,,,,,,
nht509499973,4,特别赞的服务！味道也很新鲜，服务员很耐心，上菜很快！好吃！还会再来！菜量也很大，肉非常新鲜！爸妈第一次来，觉得不用自己动手烤肉，服务员都负责了很实在，而且味道也特别纯正！小菜也很合口味。整体来说环境也很不错，适合家庭聚会！#南瓜粥##鲜五花肉##蔬菜沙拉##土豆泥南瓜羹##烤牛肉片#,,,,,,,,,
lKc521480800,4,服务员很耐心 团购的量够一男一女俩人的量 烤肉是个工序活,,,,,,,,,
葫芦_.,5,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈江河湖海,,,,,,,,,
happyuer,4,还不错，就是套餐里的有的不太可口，不如单点,,,,,,,,,
匿名用户,2,东西一般，服务员可能人少，都忙不过来，最后肉都糊了！！！,,,,,,,,,
匿名用户,5,服务很好，肉不用自己烤，也都很好吃，很棒，团购比店里打六折还要值#鲜五花肉##韩时五花肉##烤芝士玉米##南瓜汤##土豆泥##特色五花肉##特级牛五花肉#,,,,,,,,,
小爱Lotus,5,味道好！服务好！地方好找，去了之后因为有排好提醒，就逛了一会，回来后正好就排上了，配菜也多，肉质鲜嫩，不腻，服务员认真给烤着，盘子是斜的，漏掉很多油，就不用吃下肚了，很正宗，还没有多少烟，两人吃的很满意！,,,,,,,,,
玩具猪,5,吃套餐划算，非常好，向大家推荐此套餐,,,,,,,,,
saltyfish0107,4,服务好 环境好 上下快 辣白菜地道,,,,,,,,,
Drviola,4,我觉得很好！服务态度也很好！赞哦,,,,,,,,,
taitaile2004,3,菜品不错，两个人吃一个套餐撑着了,,,,,,,,,
IRISLY502,5,晚上7点左右去的，略等了一下。三人吃，量也能满足，只不过我们是肉食大胃王，所以又加了两份肉。味道依旧很好，尤其喜欢#特级牛五花肉##雪花肥牛##南瓜粥##辣白菜炒饭#，还有个芝士玉米粒的什么饼（具体菜名不记得了）也是不错的甜品，但是实在吃不下了，这次就没点。这次特意看了下，每个菜叶都洗得挺干净。服务态度也很好，小菜无限供应。要说还有不足的，就是感觉服务员人手好像略不够，有时找不到人，这方面还是要提下他们朝阳门分店，一个服务员固定服务几个桌，就是在那个区域活动，服务更及时。,,,,,,,,,
匿名用户,4,正宗哦不过有时需要等位，在三楼，态度好,,,,,,,,,
gIE325275612,4,炉火小料都是免费的，肉比较贵，不用自己烤，套餐划算但不能用团购券。,,,,,,,,,
玩具猪,5,非常好套餐，推荐吃套餐，划算，好吃,,,,,,,,,
dcw448253974,5,最近吃的太清淡了，疯狂的想吃肉，看评价说菜量很大，就跟男朋友两个人来啦～团购菜量确实很大，但是我们竟然不太够吃！！旁边一桌三个人都没吃完好么……过几天再来！感觉超好吃～哈哈～强烈推荐！,,,,,,,,,
Mercurius714,4,老公对服务员的服务爆表满意，说她们发自内心热爱自己的工作。烤肉时候面带笑容，且不是职业微笑是发自内心。味道挺好。喜欢。,,,,,,,,,
joanneho0524,4,新来的一家店服务很好，还回来。,,,,,,,,,
飞起来的绿,4,这次去是会员的生日优惠，送了一瓶酒和一份牛肉，又点了两份五花肉，一份炒米条，还有上次来没吃的炒饭，三个人吃撑。服务态度特别好，看到那种小菜吃完了立马上新的。,,,,,,,,,
匿名用户,4,服务周到，菜品新鲜，好吃好吃！！,,,,,,,,,
雪椰948,5,肉新鲜，烤的很好吃，团购很值。,,,,,,,,,
匿名用户,3,五花肉   酱牛肉拌黄瓜和多春鱼不错,,,,,,,,,
Winnie源,3,菜品还可以，口味不错，服务还行,,,,,,,,,
愛吃巧克力的甲魚,5,北京最好吃的烤肉没有之一！服务也很棒！老顾客啦～～,,,,,,,,,
chen刘小敏,4,还不错，但也没有那么多。两人吃的还可以。,,,,,,,,,
mengtianlan16,3,枫蓝人还比较多的地方，小菜无限量，不错。#烤芝士玉米#,,,,,,,,,
匿名用户,3,烤翅和烤多春鱼很棒，最爱五花肉,,,,,,,,,
笨得像猪头,3,整体还凑合，吃肉还行，吃饭菜类稍显单调,,,,,,,,,
piano0424,2,在枫蓝国际二楼，还排了一会儿号才吃上。服务态度不错，每个桌上还配有专门的服务生帮忙烤肉，上菜速度也还算可以。团购价格还算合理，但如果单点其实价格算偏贵。五花肉有点肥太腻，雪花肥牛腌过，味道偏甜，送的小菜品类很多。,,,,,,,,,
CVC988013848,5,服务很好，环境也不错，大爱南瓜羹！,,,,,,,,,
linnewton,4,服务不错，味道不错，价格不错！,,,,,,,,,
fxh103034223,4,一定要吃厚厚的五花肉，看起来太有食欲。服务也超棒的，看到我披着头发主动给了发圈，南瓜粥一样好喝，而且看到你没了就主动续上了，每个服务员的态度都超级好的......总之吃的很开心，不过量不是很大，如果五花肉再多点就好了#招牌五花肉# #南瓜粥#,,,,,,,,,
匿名用户,5,服务很好，有人专门给考，南瓜粥味道一级棒，而且肉的味道也很好！！！还会再吃的！,,,,,,,,,
匿名用户,4,服务态度好，味道也好不错不错也,,,,,,,,,
rNg536452843,4,挺不错，服务热情，菜品很好吃，环境优雅,,,,,,,,,
mabaichao007,4,环境不错，服务很好，烤肉也不错，服务员会为每份肉详细讲解。,,,,,,,,,
HahahCa,2,还可以吧，人挺多的。。。。。。。。。。。。。,,,,,,,,,
铁扇欺负牛,4,口味服务都不错 就是给的小料太袖珍了 一口就没了 建议换大一点的,,,,,,,,,
岁月静好万物皆晴,5,挺好的，我们都吃了，量很大，师傅烤肉很好吃,,,,,,,,,
舟亢Janet,3,可能还是不太习惯韩式烤肉的吃法吧，不过还是很不错的#南瓜粥##雪花肥牛#,,,,,,,,,
summe·,4,先说说环境不错，真的不错哦，然后上菜速度相当的快哦，估计是人不多的原因，刚好中午十二点左右到的，菜量的话。不多，适合两到三个人使用两张券两个人使用够了，口味的话我不挑剔，味道是不错的，服务态度也是棒棒哒,,,,,,,,,
呵呵酱呵呵,5,好吃，稍微贵点。不过服务挺好的,,,,,,,,,
ghx060220,5,超级好吃，经济实惠呀，四个人吃二百块钱足够。,,,,,,,,,
GBL521947076,5,服务好 牛肉肉质特别棒 没有排队,,,,,,,,,
QQk786797491,3,#韩时五花肉# #土豆泥# #南瓜粥# #特级牛五花肉# #大麦茶# 非常好吃，我爱南瓜粥，服务也挺不错的，环境也不错额。值得推介,,,,,,,,,
VUz566449382,4,好吃 南瓜粥好喝 服务员态度有待改进,,,,,,,,,
GBL521947076,5,价格实惠 服务特别好 还会再去,,,,,,,,,
徐泽仁,2,有点一般…味道很一般…不是很好吃。而且也不便宜,,,,,,,,,
匿名用户,5,韩时的服务很到家，服务员给烤肉，味道很好，比较喜欢他们的南瓜粥,,,,,,,,,
fDJ906501579,5,量很足，三个人吃最好，南瓜粥和地瓜泥好好吃,,,,,,,,,
