区域,北京,餐饮类型,烧烤烤串,店铺id,42081214,店铺名称,韩时烤肉（枫蓝国际购物中心店）,经度,116.356607,纬度,39.952606
你就是我的梦想,4,感觉分量还可以，跟男朋友两个人吃是够了。服务员的服务都很好，帮忙烤肉，加生菜也很勤快。去的时候前面还有8桌，等了一会儿才等到。烤肉不错，但是套餐里面的拌菜不是很喜欢，大酱汤对我来说太咸了点。不过总的来说还是不错的。,,,,,,,,,
二宝的小宝宝啊,5,在单位附近，老跟同事来吃。很不错，,,,,,,,,,
ftk517692998,5,味道很好，分量很足，环境服务都不错,,,,,,,,,
FeH114542535,4,环境特别好，服务也很不错，至于菜品更是非常棒，给9.9分！,,,,,,,,,
A小尾吧,5,吃烤肉一直来这家，离家近，今天带父母和孩子一块儿来得，给孩纸送了不辣的海带汤，很贴心,,,,,,,,,
bHv958193994,5,环境不错，很是享受，不用自己动手烤，只管吃就行，服务员态度好，感觉很舒服的用餐。,,,,,,,,,
千寻阳阳,5,味道很不错下次还去不错不错不错,,,,,,,,,
bHv958193994,5,服务小哥态度很好，烤肉棒棒的，另外特别喜欢鲜五花，粘上大酱用生菜包着吃特别香,,,,,,,,,
艾汐沫沫,2,口味一般，略贵，不喜欢，再也不会买个,,,,,,,,,
wet724,5,服务很好～距离很近味道还不错。,,,,,,,,,
bHv958193994,5,服务好、菜品多，我们七个人吃的很合适，还要了米酒，就再去公司对面。,,,,,,,,,
bHv958193994,5,第二次去了，带男朋友和同事一起去的，服务很好，烤肉不错，南瓜粥很地道。,,,,,,,,,
bHv958193994,5,口味不错，服务很满意，个人喜欢，五花肉，芝士玉米，南瓜粥，土豆泥。,,,,,,,,,
匿名用户,5,就在家门口，所以去试吃了。#南瓜粥##辣白菜炒饭##韩式泡菜##大麦茶##雪花牛肉##南瓜粥##辣白菜炒饭##土豆泥##韩式泡菜##大麦茶##南瓜粥##土豆泥##烤辣白菜##大麦茶##韩式泡菜#服务太周到了有点受不了，和海底捞有一比拼，就是有点不习惯。太好吃了，就是人太多了。最好吃的是炒饭和南瓜粥还有泡菜，还有大麦茶?，团购太值了。下次还会在吃的，肯定会和别人推荐的。,,,,,,,,,
酌尽寒色冥冥然,5,#辣白菜炒饭##雪花牛肉##雪花肥牛#三个人吃得都特别撑，不得不说这个套餐量大啊……餐前的南瓜粥无限量，周一女性拿会员卡还送饮料全程都是服务员帮着烤肉，很棒！炒饭要的原味辣，用了2碗米饭炒出来也不是很多……全成锅巴了……总体来说，很不错，还会再来！,,,,,,,,,
二宝的小宝宝啊,5,好吃，每次都吃撑，团购很便宜。,,,,,,,,,
RQ19881010,5,已经是第二次来啦，非常喜欢吃，以后还会来。,,,,,,,,,
