l7vEh7oMETmMCva5,大牌大传统菜(湖滨店),"['回头客(1182)', '上菜快(421)', '不用排队(185)', '夜景赞(3)', '到店自提(106)', '弄堂小店(102)', '朋友聚餐(91)', '闺蜜聚会(46)', '下午茶(11)', '店内消毒(8)']"
HaGyNOT7PGcGNk1M,新榆园·大隐于市(湖滨银泰旗舰店),"['回头客(553)', '不用排队(156)', '停车方便(18)', '夜景赞(3)', '到店自提(169)', '朋友聚餐(127)', '店内消毒(45)', '下午茶(44)', '有宝宝椅(6)']"
H92rDX9CbSigd9gS,杭州君悦酒店·湖滨28中餐厅,"['回头客(177)', '停车免费(20)', '不用排队(10)', '请客(115)', '到店自提(45)', '朋友聚餐(41)', '闺蜜聚会(32)', '下午茶(29)', '店内消毒(4)']"
ikiBajt3LU6C1jam,岚轩餐厅,"['上菜快(24)', '回头客(22)', '发发呆(22)', '停车方便(7)', '下午茶(25)', '公司聚餐(23)', '到店自提(21)', '文艺清新(19)', '朋友聚餐(19)', '店内消毒(1)']"
l1F8TwBOVpMUHPCe,陈艳红市井火锅(九堡店),"['菜品健康(92)', '上菜快(35)', '回头客(29)', '不用排队(24)', '停车方便(16)', '朋友聚餐(22)', '闺蜜聚会(7)', '公司聚餐(6)', '到店自提(4)', '有包厢(4)']"
G1IouBseKbNOghUA,老头儿油爆虾(湖滨银泰in77D区店),"['回头客(213)', '上菜快(86)', '不用排队(50)', '发发呆(13)', '到店自提(43)', '朋友聚餐(31)', '闺蜜聚会(28)', '弄堂小店(23)', '店内消毒(15)', '下午茶(6)']"
k5QWs1ObdJcDL8Va,桂语山房高级餐厅,"['菜品健康(960)', '回头客(325)', '停车方便(75)', '不用排队(13)', '请客(208)', '下午茶(164)', '到店自提(114)', '店内消毒(9)', '别墅(4)', '可带宠物(3)']"
k4cy7BZpJGdWlhiD,西子湖四季酒店·金沙厅,"['回头客(260)', '停车方便(31)', '不用排队(17)', '下午茶(123)', '请客(105)', '到店自提(76)', '店内消毒(9)', '别墅(3)', 'Brunch(3)']"
l3diMq4HohXdFcyo,西湖国宾馆·紫薇厅,"['回头客(107)', '不用排队(34)', '停车免费(19)', '夜景赞(6)', '请客(89)', '下午茶(79)', '到店自提(42)', '别墅(7)', '店内消毒(5)', '有宝宝椅(3)']"
k5K4KjjXuFgY0aE5,中国凉都黄牛肉馆(建国北路店),[]
l9yumftn9eug7jbb,满满初牛·不忘初心(国大店),"['回头客(606)', '不用排队(233)', '上菜快(195)', '夜景赞(18)', '停车方便(11)', '朋友聚餐(205)', '闺蜜聚会(139)', '到店自提(116)', '店内消毒(70)', '下午茶(18)']"
G46jFzPSqHGtwjKr,VIDA花园餐厅(嘉里中心店),"['回头客(84)', '不用排队(33)', '停车方便(7)', '夜景赞(5)', '下午茶(901)', '闺蜜聚会(240)', '朋友聚餐(106)', '到店自提(25)', 'Brunch(19)', '店内消毒(3)']"
G2j7ArtoaObwRsll,樨香(钱江新城店),"['回头客(17)', '停车方便(9)', '不用排队(7)', '请客(30)', '朋友聚餐(23)', '闺蜜聚会(20)', '到店自提(17)', '文艺清新(14)', '店内消毒(4)']"
